Part Number,D일 투입예정 수량(D일계획),D+1일 투입예정 수량(Total),D+2일 투입예정 수량(Total),D+3일 투입예정 수량(Total),D+4일 투입예정 수량(Total),D+5일 투입예정 수량,D+6일 투입예정 수량,D+7일 투입예정 수량,D+8일 투입예정 수량,D+9일 투입예정 수량,D+10일 투입예정 수량,D+11일 투입예정 수량,D+12일 투입예정 수량,CRET_TIME
Part 76,0,0,5,5,5,3,0,3,0,0,0,0,0,2021-09-13 18:30:00
Part 76,0,5,5,5,0,0,3,3,0,0,0,0,0,2021-09-14 17:30:00
Part 76,5,5,5,0,0,3,3,0,0,0,0,0,0,2021-09-15 16:33:00
Part 76,5,6,0,0,4,2,0,0,0,0,0,11,34,2021-09-16 17:06:00
Part 76,5,0,0,5,1,2,0,0,0,0,0,34,36,2021-09-17 06:32:00
Part 76,5,0,0,5,1,2,0,0,0,0,0,34,36,2021-09-18 07:13:00
Part 76,5,0,0,5,1,2,0,0,0,0,0,34,36,2021-09-19 06:30:00
Part 76,5,0,0,5,1,2,0,0,0,0,0,34,36,2021-09-20 06:29:00
Part 76,5,0,0,5,1,2,0,0,0,0,0,34,36,2021-09-21 06:31:00
Part 76,5,0,0,5,1,2,0,0,0,0,0,34,36,2021-09-22 06:33:00
Part 76,5,0,0,5,1,2,0,0,0,0,0,34,36,2021-09-23 06:35:00
Part 76,5,0,0,5,1,2,0,0,0,0,0,34,36,2021-09-24 06:33:00
Part 76,5,0,0,5,1,2,0,0,0,0,0,34,36,2021-09-25 15:38:00
Part 76,5,0,0,5,1,2,0,0,0,0,0,34,36,2021-09-26 06:28:00
Part 76,5,4,0,0,0,8,0,4,18,36,24,0,0,2021-09-27 12:58:00
Part 76,7,1,0,0,0,0,15,10,14,14,12,13,0,2021-09-28 18:00:00
Part 76,5,0,0,0,0,0,7,14,12,13,13,0,13,2021-09-29 11:58:00
Part 76,4,0,0,0,0,0,17,7,8,13,0,13,14,2021-09-30 17:34:00
Part 76,0,0,0,0,0,9,15,3,13,0,14,12,12,2021-10-01 07:08:00
Part 76,0,0,0,0,0,13,8,19,0,8,4,14,13,2021-10-02 08:35:00
Part 76,0,0,0,0,0,13,8,19,0,8,4,14,13,2021-10-03 07:03:00
Part 76,0,0,0,13,8,19,0,8,4,14,13,11,0,2021-10-04 16:30:00
Part 76,0,0,3,10,12,0,21,2,9,13,13,7,0,2021-10-05 10:29:00
Part 76,0,3,10,0,0,0,12,21,25,1,0,0,0,2021-10-06 18:34:00
Part 76,2,11,0,0,0,11,16,15,17,0,0,0,0,2021-10-07 17:32:00
Part 76,12,0,0,0,5,16,18,11,10,0,0,0,0,2021-10-08 15:05:00
Part 76,12,0,0,0,5,16,18,11,10,0,0,0,0,2021-10-09 07:05:00
Part 76,12,0,0,0,5,16,18,11,10,0,0,0,0,2021-10-10 06:29:00
Part 76,12,0,0,0,5,16,18,11,10,0,0,0,0,2021-10-11 06:28:00
Part 76,6,16,18,10,10,0,0,1,0,0,0,6,0,2021-10-12 11:34:00
Part 76,18,18,11,10,0,0,1,0,0,0,5,0,12,2021-10-13 12:38:00
Part 76,19,8,0,0,0,8,9,13,0,0,0,0,4,2021-10-14 16:30:00
Part 76,13,0,0,0,7,9,14,0,0,0,0,4,0,2021-10-15 15:34:00
Part 76,0,0,1,7,7,16,0,0,0,0,4,0,0,2021-10-16 07:42:00
Part 76,0,0,1,7,7,16,0,0,0,0,4,0,0,2021-10-17 06:36:00
Part 76,1,7,7,16,0,0,0,0,4,0,0,35,15,2021-10-18 16:38:00
Part 76,2,9,14,5,0,0,0,0,0,4,0,0,0,2021-10-19 15:57:00
Part 76,8,11,11,0,0,0,0,0,1,1,30,0,24,2021-10-20 16:01:00
Part 76,9,15,0,0,2,0,0,0,6,25,0,23,0,2021-10-21 15:01:00
Part 76,16,0,0,5,0,0,30,22,0,0,0,0,0,2021-10-22 16:03:00
Part 76,16,0,0,5,0,0,30,22,0,0,0,0,0,2021-10-23 07:08:00
Part 76,16,0,0,5,0,0,30,22,0,0,0,0,0,2021-10-24 06:33:00
Part 76,10,0,0,23,26,3,0,0,0,0,0,0,0,2021-10-25 17:29:00
Part 76,4,0,4,4,0,0,0,3,5,4,10,22,0,2021-10-26 06:33:00
Part 76,2,0,8,0,0,0,0,7,4,5,29,0,0,2021-10-27 06:39:00
Part 76,1,4,0,0,4,0,6,3,4,4,0,16,12,2021-10-28 16:26:00
Part 76,4,0,0,5,0,3,7,4,4,0,16,11,0,2021-10-29 15:38:00
Part 76,4,0,0,5,0,3,7,4,4,0,16,11,0,2021-10-30 07:04:00
Part 76,8,0,1,8,4,4,0,10,18,0,0,0,0,2021-11-01 07:03:00
