Part Number,D일 투입예정 수량(D일계획),D+1일 투입예정 수량(Total),D+2일 투입예정 수량(Total),D+3일 투입예정 수량(Total),D+4일 투입예정 수량(Total),D+5일 투입예정 수량,D+6일 투입예정 수량,D+7일 투입예정 수량,D+8일 투입예정 수량,D+9일 투입예정 수량,D+10일 투입예정 수량,D+11일 투입예정 수량,D+12일 투입예정 수량,CRET_TIME
Part 36,0,0,0,0,0,0,0,0,0,0,28,0,0,2021-09-13 18:30:00
Part 36,0,0,0,0,0,0,0,0,0,0,18,10,0,2021-09-14 17:30:00
Part 36,0,0,0,0,0,0,0,0,0,3,25,0,0,2021-09-15 16:33:00
Part 36,0,0,0,0,0,0,0,0,2,25,0,1,0,2021-09-16 17:06:00
Part 36,0,0,0,0,0,0,0,0,0,0,0,0,1,2021-09-17 06:32:00
Part 36,0,0,0,0,0,0,0,0,0,0,0,0,1,2021-09-18 07:13:00
Part 36,0,0,0,0,0,0,0,0,0,0,0,0,1,2021-09-19 06:30:00
Part 36,0,0,0,0,0,0,0,0,0,0,0,0,1,2021-09-20 06:29:00
Part 36,0,0,0,0,0,0,0,0,0,0,0,0,1,2021-09-21 06:31:00
Part 36,0,0,0,0,0,0,0,0,0,0,0,0,1,2021-09-22 06:33:00
Part 36,0,0,0,0,0,0,0,0,0,0,0,0,1,2021-09-23 06:35:00
Part 36,0,0,0,0,0,0,0,0,0,0,0,0,1,2021-09-24 06:33:00
Part 36,0,0,0,0,0,0,0,0,0,0,0,0,1,2021-09-25 15:38:00
Part 36,0,0,0,0,0,0,0,0,0,0,0,0,1,2021-09-26 06:28:00
Part 36,0,0,0,25,3,0,0,0,0,0,0,0,0,2021-09-27 12:58:00
Part 36,0,0,25,3,0,0,0,0,0,0,0,0,0,2021-09-28 18:00:00
Part 36,0,26,2,0,0,0,0,0,0,0,0,0,0,2021-09-29 11:58:00
Part 36,23,5,0,0,0,0,0,0,0,0,0,0,0,2021-09-30 17:34:00
Part 36,7,0,0,0,0,0,0,0,0,0,0,0,0,2021-10-01 07:08:00
Part 36,0,0,2,0,0,0,0,0,0,0,0,0,58,2021-10-02 08:35:00
Part 36,0,0,2,0,0,0,0,0,0,0,0,0,58,2021-10-03 07:03:00
Part 36,2,0,0,0,0,0,0,0,0,0,58,95,0,2021-10-04 16:30:00
Part 36,2,0,0,0,0,0,0,0,0,0,0,0,0,2021-10-05 10:29:00
Part 36,2,0,0,0,0,0,0,0,0,0,34,0,27,2021-10-06 18:34:00
Part 36,2,0,0,0,0,0,0,0,0,34,0,28,58,2021-10-07 17:32:00
Part 36,2,0,0,0,0,0,0,0,0,0,33,22,59,2021-10-08 15:05:00
Part 36,2,0,0,0,0,0,0,0,0,0,33,22,59,2021-10-09 07:05:00
Part 36,2,0,0,0,0,0,0,0,0,0,33,22,59,2021-10-10 06:29:00
Part 36,2,0,0,0,0,0,0,0,0,0,33,22,59,2021-10-11 06:28:00
Part 36,2,0,0,0,0,0,32,22,49,20,30,0,0,2021-10-12 11:34:00
Part 36,1,0,0,0,0,25,21,50,21,35,18,0,0,2021-10-13 12:38:00
Part 36,1,0,0,0,18,27,46,25,34,3,0,17,0,2021-10-14 16:30:00
Part 36,1,0,0,17,27,44,28,33,4,0,17,0,0,2021-10-15 15:34:00
Part 36,0,0,17,28,39,29,36,21,0,1,0,0,0,2021-10-16 07:42:00
Part 36,0,0,17,28,39,29,36,21,0,1,0,0,0,2021-10-17 06:36:00
Part 36,17,28,39,29,36,21,0,1,0,0,0,0,0,2021-10-18 16:38:00
Part 36,30,35,34,27,0,0,28,6,0,0,0,0,0,2021-10-19 15:57:00
Part 36,34,38,26,0,0,29,6,0,0,0,0,0,1,2021-10-20 16:01:00
Part 36,42,27,0,0,28,9,0,0,0,0,0,0,22,2021-10-21 15:01:00
Part 36,27,0,0,29,12,0,0,0,0,0,0,15,9,2021-10-22 16:03:00
Part 36,27,0,0,29,12,0,0,0,0,0,0,15,9,2021-10-23 07:08:00
Part 36,27,0,0,29,12,0,0,0,0,0,0,15,9,2021-10-24 06:33:00
Part 36,18,12,10,4,0,0,0,0,0,0,0,22,2,2021-10-25 17:29:00
Part 36,12,10,3,0,0,0,0,0,0,0,18,6,0,2021-10-26 06:33:00
Part 36,13,4,0,0,0,0,0,0,0,17,7,0,0,2021-10-27 06:39:00
Part 36,6,0,0,0,0,0,0,0,24,0,0,0,0,2021-10-28 16:26:00
Part 36,1,0,0,0,0,0,0,14,10,0,0,0,0,2021-10-29 15:38:00
Part 36,1,0,0,0,0,0,0,14,10,0,0,0,0,2021-10-30 07:04:00
Part 36,1,0,0,0,14,10,0,0,0,0,0,0,0,2021-11-01 07:03:00
