Part Number,D일 투입예정 수량(D일계획),D+1일 투입예정 수량(Total),D+2일 투입예정 수량(Total),D+3일 투입예정 수량(Total),D+4일 투입예정 수량(Total),D+5일 투입예정 수량,D+6일 투입예정 수량,D+7일 투입예정 수량,D+8일 투입예정 수량,D+9일 투입예정 수량,D+10일 투입예정 수량,D+11일 투입예정 수량,D+12일 투입예정 수량,CRET_TIME
Part 22,39,42,31,14,76,23,0,55,72,40,25,38,0,2021-09-13 18:30:00
Part 22,49,31,12,80,22,0,56,71,40,25,39,0,0,2021-09-14 17:30:00
Part 22,59,25,71,45,0,45,57,39,31,47,0,0,0,2021-09-15 16:33:00
Part 22,53,68,47,0,49,71,74,60,71,0,0,33,0,2021-09-16 17:06:00
Part 22,41,65,0,0,0,0,0,0,0,0,59,53,70,2021-09-17 06:32:00
Part 22,41,65,0,0,0,0,0,0,0,0,59,53,70,2021-09-18 07:13:00
Part 22,41,65,0,0,0,0,0,0,0,0,59,53,70,2021-09-19 06:30:00
Part 22,41,65,0,0,0,0,0,0,0,0,59,53,70,2021-09-20 06:29:00
Part 22,41,65,0,0,0,0,0,0,0,0,59,53,70,2021-09-21 06:31:00
Part 22,41,65,0,0,0,0,0,0,0,0,59,53,70,2021-09-22 06:33:00
Part 22,41,65,0,0,0,0,0,0,0,0,59,53,70,2021-09-23 06:35:00
Part 22,41,65,0,0,0,0,0,0,0,0,59,53,70,2021-09-24 06:33:00
Part 22,41,65,0,0,0,0,0,0,0,0,59,53,70,2021-09-25 15:38:00
Part 22,41,65,0,0,0,0,0,0,0,0,59,53,70,2021-09-26 06:28:00
Part 22,73,44,69,60,0,0,0,0,0,0,0,0,0,2021-09-27 12:58:00
Part 22,56,77,53,42,0,0,42,63,48,58,18,0,0,2021-09-28 18:00:00
Part 22,83,65,38,0,0,33,52,56,69,43,0,0,0,2021-09-29 11:58:00
Part 22,76,42,0,0,30,65,59,60,41,0,0,0,35,2021-09-30 17:34:00
Part 22,52,0,0,27,60,57,70,57,0,0,0,41,49,2021-10-01 07:08:00
Part 22,0,0,28,61,50,74,60,0,0,0,44,36,30,2021-10-02 08:35:00
Part 22,0,0,28,61,50,74,60,0,0,0,44,36,30,2021-10-03 07:03:00
Part 22,28,61,50,74,60,0,0,0,44,36,30,13,0,2021-10-04 16:30:00
Part 22,57,48,76,58,56,0,0,36,31,12,25,0,0,2021-10-05 10:29:00
Part 22,56,70,59,63,0,0,33,31,15,17,0,0,11,2021-10-06 18:34:00
Part 22,71,63,63,0,0,34,36,11,15,0,0,15,55,2021-10-07 17:32:00
Part 22,67,55,0,0,39,38,13,13,0,0,39,37,27,2021-10-08 15:05:00
Part 22,67,55,0,0,39,38,13,13,0,0,39,37,27,2021-10-09 07:05:00
Part 22,67,55,0,0,39,38,13,13,0,0,39,37,27,2021-10-10 06:29:00
Part 22,67,55,0,0,39,38,13,13,0,0,39,37,27,2021-10-11 06:28:00
Part 22,40,45,19,6,0,0,32,44,37,73,83,0,0,2021-10-12 11:34:00
Part 22,41,24,7,24,0,53,31,53,71,33,0,0,4,2021-10-13 12:38:00
Part 22,28,7,24,0,51,30,54,69,53,0,0,18,0,2021-10-14 16:30:00
Part 22,8,19,0,51,31,52,69,54,0,0,23,1,0,2021-10-15 15:34:00
Part 22,19,0,44,33,52,72,50,0,0,28,3,0,11,2021-10-16 07:42:00
Part 22,19,0,44,33,52,72,50,0,0,28,3,0,11,2021-10-17 06:36:00
Part 22,44,32,51,74,46,0,0,35,5,0,0,181,0,2021-10-18 16:38:00
Part 22,34,55,62,53,39,0,13,1,0,0,0,0,0,2021-10-19 15:57:00
Part 22,50,57,58,42,0,14,7,6,7,6,0,0,0,2021-10-20 16:01:00
Part 22,56,63,42,0,16,7,7,7,6,0,0,0,0,2021-10-21 15:01:00
Part 22,64,45,0,16,8,7,7,6,0,0,6,33,129,2021-10-22 16:03:00
Part 22,64,45,0,16,8,7,7,6,0,0,6,33,129,2021-10-23 07:08:00
Part 22,64,45,0,16,8,7,7,6,0,0,6,33,129,2021-10-24 06:33:00
Part 22,26,10,7,8,6,0,0,6,0,162,0,0,0,2021-10-25 17:29:00
Part 22,11,7,9,6,6,0,28,29,19,19,26,0,0,2021-10-26 06:33:00
Part 22,7,6,9,6,0,24,33,17,20,26,0,0,35,2021-10-27 06:39:00
Part 22,8,9,6,0,24,33,19,19,27,0,0,34,35,2021-10-28 16:26:00
Part 22,6,8,0,23,11,0,0,47,0,0,43,43,36,2021-10-29 15:38:00
Part 22,6,8,0,23,11,0,0,47,0,0,43,43,36,2021-10-30 07:04:00
Part 22,14,22,0,0,0,0,0,0,0,0,0,0,0,2021-11-01 07:03:00
