Part Number,D일 투입예정 수량(D일계획),D+1일 투입예정 수량(Total),D+2일 투입예정 수량(Total),D+3일 투입예정 수량(Total),D+4일 투입예정 수량(Total),D+5일 투입예정 수량,D+6일 투입예정 수량,D+7일 투입예정 수량,D+8일 투입예정 수량,D+9일 투입예정 수량,D+10일 투입예정 수량,D+11일 투입예정 수량,D+12일 투입예정 수량,CRET_TIME
Part 92,266,4,554,554,554,0,0,554,554,554,554,554,0,2021-09-13 18:30:00
Part 92,4,626,554,554,0,0,554,554,554,554,554,0,0,2021-09-14 17:30:00
Part 92,0,562,490,0,0,0,0,0,0,554,554,0,554,2021-09-15 16:33:00
Part 92,608,490,0,0,0,0,0,0,554,554,0,554,554,2021-09-16 17:06:00
Part 92,566,554,554,0,0,0,0,554,554,0,554,554,564,2021-09-17 06:32:00
Part 92,566,554,554,0,0,0,0,554,554,0,554,554,564,2021-09-18 07:13:00
Part 92,566,554,554,0,0,0,0,554,554,0,554,554,564,2021-09-19 06:30:00
Part 92,566,554,554,0,0,0,0,554,554,0,554,554,564,2021-09-20 06:29:00
Part 92,566,554,554,0,0,0,0,554,554,0,554,554,564,2021-09-21 06:31:00
Part 92,566,554,554,0,0,0,0,554,554,0,554,554,564,2021-09-22 06:33:00
Part 92,566,554,554,0,0,0,0,554,554,0,554,554,564,2021-09-23 06:35:00
Part 92,566,554,554,0,0,0,0,554,554,0,554,554,564,2021-09-24 06:33:00
Part 92,566,554,554,0,0,0,0,554,554,0,554,554,564,2021-09-25 15:38:00
Part 92,566,554,554,0,0,0,0,554,554,0,554,554,564,2021-09-26 06:28:00
Part 92,640,554,574,554,564,0,0,554,554,564,554,564,0,2021-09-27 12:58:00
Part 92,614,564,554,564,0,0,554,554,564,554,564,0,0,2021-09-28 18:00:00
Part 92,638,586,596,0,0,554,554,564,554,564,0,0,554,2021-09-29 11:58:00
Part 92,676,606,0,0,554,554,564,554,564,0,0,554,554,2021-09-30 17:34:00
Part 92,666,0,0,586,586,586,606,596,0,0,586,596,596,2021-10-01 07:08:00
Part 92,0,0,668,586,586,606,596,586,0,0,596,596,594,2021-10-02 08:35:00
Part 92,0,0,668,586,586,606,596,586,0,0,596,596,594,2021-10-03 07:03:00
Part 92,668,586,586,606,596,586,0,0,596,596,594,586,0,2021-10-04 16:30:00
Part 92,670,586,606,596,586,0,0,596,596,594,586,0,0,2021-10-05 10:29:00
Part 92,670,606,596,586,0,0,596,596,594,586,0,0,586,2021-10-06 18:34:00
Part 92,666,596,586,0,0,596,596,596,586,0,0,586,586,2021-10-07 17:32:00
Part 92,672,586,0,0,596,596,596,586,0,0,586,586,586,2021-10-08 15:05:00
Part 92,672,586,0,0,596,596,596,586,0,0,586,586,586,2021-10-09 07:05:00
Part 92,672,586,0,0,596,596,596,586,0,0,586,586,586,2021-10-10 06:29:00
Part 92,672,586,0,0,596,596,596,586,0,0,586,586,586,2021-10-11 06:28:00
Part 92,664,662,662,652,0,0,652,586,586,586,586,0,0,2021-10-12 11:34:00
Part 92,724,662,652,652,0,586,586,586,586,586,0,0,586,2021-10-13 12:38:00
Part 92,744,652,652,0,586,586,586,586,586,0,0,586,586,2021-10-14 16:30:00
Part 92,726,652,0,586,586,586,586,586,0,0,586,586,586,2021-10-15 15:34:00
Part 92,730,0,586,586,586,586,586,0,0,586,586,586,586,2021-10-16 07:42:00
Part 92,730,0,586,586,586,586,586,0,0,586,586,586,586,2021-10-17 06:36:00
Part 92,688,586,586,586,586,0,0,586,586,586,586,586,0,2021-10-18 16:38:00
Part 92,658,586,550,550,0,0,550,550,550,550,550,0,0,2021-10-19 15:57:00
Part 92,634,550,550,0,0,550,550,550,550,550,0,0,586,2021-10-20 16:01:00
Part 92,586,618,0,0,550,550,550,550,550,0,0,586,586,2021-10-21 15:01:00
Part 92,660,0,0,566,550,550,566,550,0,0,586,586,586,2021-10-22 16:03:00
Part 92,660,0,0,566,550,550,566,550,0,0,586,586,586,2021-10-23 07:08:00
Part 92,660,0,0,566,550,550,566,550,0,0,586,586,586,2021-10-24 06:33:00
Part 92,636,550,550,566,550,0,0,586,586,586,586,586,0,2021-10-25 17:29:00
Part 92,640,550,566,550,0,0,586,586,586,586,586,0,0,2021-10-26 06:33:00
Part 92,628,578,550,0,0,586,586,586,586,586,0,0,586,2021-10-27 06:39:00
Part 92,642,550,0,0,586,586,586,586,586,0,0,586,586,2021-10-28 16:26:00
Part 92,630,0,0,102,0,586,586,586,0,0,586,586,586,2021-10-29 15:38:00
Part 92,630,0,0,102,0,586,586,586,0,0,586,586,586,2021-10-30 07:04:00
Part 92,124,0,204,204,204,0,0,586,586,586,586,586,0,2021-11-01 07:03:00
