Part Number,D일 투입예정 수량(D일계획),D+1일 투입예정 수량(Total),D+2일 투입예정 수량(Total),D+3일 투입예정 수량(Total),D+4일 투입예정 수량(Total),D+5일 투입예정 수량,D+6일 투입예정 수량,D+7일 투입예정 수량,D+8일 투입예정 수량,D+9일 투입예정 수량,D+10일 투입예정 수량,D+11일 투입예정 수량,D+12일 투입예정 수량,CRET_TIME
Part 39,40,19,50,32,31,23,0,18,21,87,155,175,0,2021-09-13 18:30:00
Part 39,44,25,25,47,0,0,42,16,5,44,92,110,0,2021-09-14 17:30:00
Part 39,41,23,18,0,0,31,42,18,8,60,120,0,38,2021-09-15 16:33:00
Part 39,27,18,0,0,32,17,26,27,13,57,0,50,65,2021-09-16 17:06:00
Part 39,24,0,0,0,0,0,0,33,15,0,27,26,15,2021-09-17 06:32:00
Part 39,24,0,0,0,0,0,0,33,15,0,27,26,15,2021-09-18 07:13:00
Part 39,24,0,0,0,0,0,0,33,15,0,27,26,15,2021-09-19 06:30:00
Part 39,24,0,0,0,0,0,0,33,15,0,27,26,15,2021-09-20 06:29:00
Part 39,24,0,0,0,0,0,0,33,15,0,27,26,15,2021-09-21 06:31:00
Part 39,24,0,0,0,0,0,0,33,15,0,27,26,15,2021-09-22 06:33:00
Part 39,24,0,0,0,0,0,0,33,15,0,27,26,15,2021-09-23 06:35:00
Part 39,24,0,0,0,0,0,0,33,15,0,27,26,15,2021-09-24 06:33:00
Part 39,24,0,0,0,0,0,0,33,15,0,27,26,15,2021-09-25 15:38:00
Part 39,24,0,0,0,0,0,0,33,15,0,27,26,15,2021-09-26 06:28:00
Part 39,10,4,0,33,32,33,0,43,42,48,38,56,65,2021-09-27 12:58:00
Part 39,2,3,25,27,0,0,21,20,35,40,36,43,0,2021-09-28 18:00:00
Part 39,4,26,27,0,0,20,21,36,39,35,40,0,32,2021-09-29 11:58:00
Part 39,27,30,0,0,21,24,38,50,42,36,0,48,52,2021-09-30 17:34:00
Part 39,34,0,0,21,21,36,40,37,40,0,38,50,79,2021-10-01 07:08:00
Part 39,0,0,25,17,37,42,46,42,0,36,45,42,83,2021-10-02 08:35:00
Part 39,0,0,25,17,37,42,46,42,0,36,45,42,83,2021-10-03 07:03:00
Part 39,25,17,37,42,46,42,0,36,45,42,83,201,0,2021-10-04 16:30:00
Part 39,20,7,10,10,0,0,0,41,55,42,41,33,0,2021-10-05 10:29:00
Part 39,15,9,7,0,0,0,29,34,35,46,35,0,43,2021-10-06 18:34:00
Part 39,15,10,0,0,0,21,37,36,45,34,0,49,48,2021-10-07 17:32:00
Part 39,15,0,0,0,30,28,35,44,0,0,35,50,42,2021-10-08 15:05:00
Part 39,15,0,0,0,30,28,35,44,0,0,35,50,42,2021-10-09 07:05:00
Part 39,15,0,0,0,30,28,35,44,0,0,35,50,42,2021-10-10 06:29:00
Part 39,15,0,0,0,30,28,35,44,0,0,35,50,42,2021-10-11 06:28:00
Part 39,36,26,39,44,0,0,33,51,42,48,66,62,0,2021-10-12 11:34:00
Part 39,37,33,39,0,0,33,41,53,43,66,65,0,69,2021-10-13 12:38:00
Part 39,43,31,0,0,38,46,45,49,57,63,0,74,62,2021-10-14 16:30:00
Part 39,42,0,0,39,41,42,55,59,62,0,64,58,63,2021-10-15 15:34:00
Part 39,0,0,48,43,36,8,12,43,0,69,61,79,187,2021-10-16 07:42:00
Part 39,0,0,48,43,36,8,12,43,0,69,61,79,187,2021-10-17 06:36:00
Part 39,48,43,36,8,12,43,0,69,61,79,187,38,0,2021-10-18 16:38:00
Part 39,46,41,9,8,0,0,37,70,68,70,135,0,0,2021-10-19 15:57:00
Part 39,47,7,7,0,0,37,71,65,61,52,0,0,48,2021-10-20 16:01:00
Part 39,14,9,0,0,26,69,61,53,58,0,0,61,26,2021-10-21 15:01:00
Part 39,11,0,0,49,62,68,63,58,0,0,43,34,51,2021-10-22 16:03:00
Part 39,11,0,0,49,62,68,63,58,0,0,43,34,51,2021-10-23 07:08:00
Part 39,11,0,0,49,62,68,63,58,0,0,43,34,51,2021-10-24 06:33:00
Part 39,26,24,25,36,33,0,0,39,69,46,47,47,56,2021-10-25 17:29:00
Part 39,33,29,28,31,0,0,38,69,45,50,45,61,0,2021-10-26 06:33:00
Part 39,37,30,31,0,0,35,70,47,51,40,62,0,45,2021-10-27 06:39:00
Part 39,38,26,0,0,57,65,6,20,48,33,0,49,63,2021-10-28 16:26:00
Part 39,36,0,0,50,20,28,22,34,35,0,37,49,66,2021-10-29 15:38:00
Part 39,36,0,0,50,20,28,22,34,35,0,37,49,66,2021-10-30 07:04:00
Part 39,61,21,28,23,34,35,0,38,51,63,71,130,75,2021-11-01 07:03:00
