Part Number,D일 투입예정 수량(D일계획),D+1일 투입예정 수량(Total),D+2일 투입예정 수량(Total),D+3일 투입예정 수량(Total),D+4일 투입예정 수량(Total),D+5일 투입예정 수량,D+6일 투입예정 수량,D+7일 투입예정 수량,D+8일 투입예정 수량,D+9일 투입예정 수량,D+10일 투입예정 수량,D+11일 투입예정 수량,D+12일 투입예정 수량,CRET_TIME
Part 61,65,58,49,52,53,53,0,28,45,110,403,90,0,2021-09-13 18:30:00
Part 61,67,52,53,53,0,0,53,44,41,59,65,468,0,2021-09-14 17:30:00
Part 61,60,49,20,0,0,58,55,47,73,70,154,0,314,2021-09-15 16:33:00
Part 61,59,20,0,0,58,55,45,75,47,38,0,44,48,2021-09-16 17:06:00
Part 61,40,0,0,0,0,0,0,55,42,0,55,68,58,2021-09-17 06:32:00
Part 61,40,0,0,0,0,0,0,55,42,0,55,68,58,2021-09-18 07:13:00
Part 61,40,0,0,0,0,0,0,55,42,0,55,68,58,2021-09-19 06:30:00
Part 61,40,0,0,0,0,0,0,55,42,0,55,68,58,2021-09-20 06:29:00
Part 61,40,0,0,0,0,0,0,55,42,0,55,68,58,2021-09-21 06:31:00
Part 61,40,0,0,0,0,0,0,55,42,0,55,68,58,2021-09-22 06:33:00
Part 61,40,0,0,0,0,0,0,55,42,0,55,68,58,2021-09-23 06:35:00
Part 61,40,0,0,0,0,0,0,55,42,0,55,68,58,2021-09-24 06:33:00
Part 61,40,0,0,0,0,0,0,55,42,0,55,68,58,2021-09-25 15:38:00
Part 61,40,0,0,0,0,0,0,55,42,0,55,68,58,2021-09-26 06:28:00
Part 61,27,4,0,45,49,62,0,62,63,73,67,101,105,2021-09-27 12:58:00
Part 61,9,0,45,72,0,0,58,76,65,69,64,91,0,2021-09-28 18:00:00
Part 61,3,53,66,0,0,70,67,68,61,63,90,0,52,2021-09-29 11:58:00
Part 61,43,81,0,0,68,67,69,59,89,75,0,86,105,2021-09-30 17:34:00
Part 61,74,0,0,68,60,76,69,60,87,0,57,65,144,2021-10-01 07:08:00
Part 61,0,0,72,33,46,67,63,70,0,74,55,66,176,2021-10-02 08:35:00
Part 61,0,0,72,33,46,67,63,70,0,74,55,66,176,2021-10-03 07:03:00
Part 61,72,33,46,67,63,70,0,74,55,66,176,229,0,2021-10-04 16:30:00
Part 61,44,16,14,5,0,0,0,42,77,78,79,73,0,2021-10-05 10:29:00
Part 61,29,13,6,0,0,0,49,79,70,81,71,0,66,2021-10-06 18:34:00
Part 61,23,18,0,0,0,32,74,66,90,76,0,67,61,2021-10-07 17:32:00
Part 61,28,0,0,0,58,48,66,86,0,0,82,67,60,2021-10-08 15:05:00
Part 61,28,0,0,0,58,48,66,86,0,0,82,67,60,2021-10-09 07:05:00
Part 61,28,0,0,0,58,48,66,86,0,0,82,67,60,2021-10-10 06:29:00
Part 61,28,0,0,0,58,48,66,86,0,0,82,67,60,2021-10-11 06:28:00
Part 61,71,50,67,87,0,0,71,73,64,67,82,98,0,2021-10-12 11:34:00
Part 61,71,53,74,0,0,70,68,60,82,80,91,0,93,2021-10-13 12:38:00
Part 61,79,55,0,0,81,56,56,96,76,78,0,85,85,2021-10-14 16:30:00
Part 61,88,0,0,58,58,58,95,78,75,0,72,76,99,2021-10-15 15:34:00
Part 61,0,0,81,52,52,21,16,64,0,80,82,106,217,2021-10-16 07:42:00
Part 61,0,0,81,52,52,21,16,64,0,80,82,106,217,2021-10-17 06:36:00
Part 61,81,52,52,21,16,64,0,80,82,106,217,113,0,2021-10-18 16:38:00
Part 61,74,44,27,9,0,0,65,66,87,105,192,0,0,2021-10-19 15:57:00
Part 61,65,14,8,0,0,65,68,84,81,73,0,0,98,2021-10-20 16:01:00
Part 61,26,14,0,0,57,61,72,83,87,0,0,81,90,2021-10-21 15:01:00
Part 61,18,0,0,73,81,91,85,91,0,0,73,97,86,2021-10-22 16:03:00
Part 61,18,0,0,73,81,91,85,91,0,0,73,97,86,2021-10-23 07:08:00
Part 61,18,0,0,73,81,91,85,91,0,0,73,97,86,2021-10-24 06:33:00
Part 61,40,27,41,34,51,0,0,101,100,103,95,119,95,2021-10-25 17:29:00
Part 61,39,38,30,64,0,0,119,111,114,111,124,120,0,2021-10-26 06:33:00
Part 61,50,34,58,0,0,116,118,112,108,135,102,0,134,2021-10-27 06:39:00
Part 61,51,51,0,0,108,54,39,87,119,112,0,125,116,2021-10-28 16:26:00
Part 61,60,0,0,92,29,22,24,93,79,0,132,125,114,2021-10-29 15:38:00
Part 61,60,0,0,92,29,22,24,93,79,0,132,125,114,2021-10-30 07:04:00
Part 61,110,33,22,25,98,78,0,131,125,110,174,190,53,2021-11-01 07:03:00
