Part Number,D일 투입예정 수량(D일계획),D+1일 투입예정 수량(Total),D+2일 투입예정 수량(Total),D+3일 투입예정 수량(Total),D+4일 투입예정 수량(Total),D+5일 투입예정 수량,D+6일 투입예정 수량,D+7일 투입예정 수량,D+8일 투입예정 수량,D+9일 투입예정 수량,D+10일 투입예정 수량,D+11일 투입예정 수량,D+12일 투입예정 수량,CRET_TIME
Part 27,117,68,79,96,54,107,0,185,168,200,215,178,0,2021-09-13 18:30:00
Part 27,114,79,98,50,108,0,184,169,200,215,177,0,0,2021-09-14 17:30:00
Part 27,99,85,59,85,0,195,183,201,209,170,0,0,239,2021-09-15 16:33:00
Part 27,124,62,83,0,191,169,166,180,169,0,0,183,240,2021-09-16 17:06:00
Part 27,121,65,0,0,0,0,0,0,0,0,181,187,170,2021-09-17 06:32:00
Part 27,121,65,0,0,0,0,0,0,0,0,181,187,170,2021-09-18 07:13:00
Part 27,121,65,0,0,0,0,0,0,0,0,181,187,170,2021-09-19 06:30:00
Part 27,121,65,0,0,0,0,0,0,0,0,181,187,170,2021-09-20 06:29:00
Part 27,121,65,0,0,0,0,0,0,0,0,181,187,170,2021-09-21 06:31:00
Part 27,121,65,0,0,0,0,0,0,0,0,181,187,170,2021-09-22 06:33:00
Part 27,121,65,0,0,0,0,0,0,0,0,181,187,170,2021-09-23 06:35:00
Part 27,121,65,0,0,0,0,0,0,0,0,181,187,170,2021-09-24 06:33:00
Part 27,121,65,0,0,0,0,0,0,0,0,181,187,170,2021-09-25 15:38:00
Part 27,121,65,0,0,0,0,0,0,0,0,181,187,170,2021-09-26 06:28:00
Part 27,198,196,171,180,0,0,0,0,0,0,0,0,0,2021-09-27 12:58:00
Part 27,205,163,187,198,0,0,198,177,192,182,198,0,0,2021-09-28 18:00:00
Part 27,170,175,202,0,0,207,188,184,171,186,0,0,0,2021-09-29 11:58:00
Part 27,174,198,0,0,210,175,181,180,191,0,0,0,135,2021-09-30 17:34:00
Part 27,200,0,0,213,180,183,170,183,0,0,0,143,132,2021-10-01 07:08:00
Part 27,0,0,228,179,190,166,180,0,0,0,147,141,165,2021-10-02 08:35:00
Part 27,0,0,228,179,190,166,180,0,0,0,147,141,165,2021-10-03 07:03:00
Part 27,228,179,190,166,180,0,0,0,147,141,165,186,0,2021-10-04 16:30:00
Part 27,208,192,164,182,175,0,0,141,164,187,175,0,0,2021-10-05 10:29:00
Part 27,193,170,181,177,0,0,142,157,184,183,0,0,189,2021-10-06 18:34:00
Part 27,179,177,177,0,0,145,148,188,185,0,0,185,145,2021-10-07 17:32:00
Part 27,180,185,0,0,142,144,187,186,0,0,161,163,173,2021-10-08 15:05:00
Part 27,180,185,0,0,142,144,187,186,0,0,161,163,173,2021-10-09 07:05:00
Part 27,180,185,0,0,142,144,187,186,0,0,161,163,173,2021-10-10 06:29:00
Part 27,180,185,0,0,142,144,187,186,0,0,161,163,173,2021-10-11 06:28:00
Part 27,168,136,181,193,0,0,168,156,163,127,117,0,0,2021-10-12 11:34:00
Part 27,156,175,192,176,0,147,169,147,129,166,0,0,196,2021-10-13 12:38:00
Part 27,183,192,176,0,149,170,146,131,147,0,0,181,200,2021-10-14 16:30:00
Part 27,209,181,0,149,169,148,131,146,0,0,176,199,200,2021-10-15 15:34:00
Part 27,191,0,156,167,148,128,150,0,0,171,197,200,189,2021-10-16 07:42:00
Part 27,191,0,156,167,148,128,150,0,0,171,197,200,189,2021-10-17 06:36:00
Part 27,168,168,149,126,154,0,0,164,195,200,200,19,0,2021-10-18 16:38:00
Part 27,172,145,138,147,161,0,185,198,200,199,200,0,0,2021-10-19 15:57:00
Part 27,160,143,142,158,0,185,191,194,193,193,0,0,0,2021-10-20 16:01:00
Part 27,163,137,158,0,182,192,193,193,193,0,0,0,0,2021-10-21 15:01:00
Part 27,144,155,0,182,191,193,193,193,0,0,194,167,71,2021-10-22 16:03:00
Part 27,144,155,0,182,191,193,193,193,0,0,194,167,71,2021-10-23 07:08:00
Part 27,144,155,0,182,191,193,193,193,0,0,194,167,71,2021-10-24 06:33:00
Part 27,181,189,192,192,193,0,0,194,200,38,200,200,0,2021-10-25 17:29:00
Part 27,194,192,191,193,194,0,172,171,181,181,174,0,0,2021-10-26 06:33:00
Part 27,201,194,190,194,0,176,167,183,180,174,0,0,165,2021-10-27 06:39:00
Part 27,208,190,194,0,186,177,191,191,183,0,0,166,165,2021-10-28 16:26:00
Part 27,200,192,0,187,199,210,210,163,0,0,157,157,164,2021-10-29 15:38:00
Part 27,200,192,0,187,199,210,210,163,0,0,157,157,164,2021-10-30 07:04:00
Part 27,203,188,210,210,210,0,0,200,200,200,200,200,0,2021-11-01 07:03:00
