Part Number,D일 투입예정 수량(D일계획),D+1일 투입예정 수량(Total),D+2일 투입예정 수량(Total),D+3일 투입예정 수량(Total),D+4일 투입예정 수량(Total),D+5일 투입예정 수량,D+6일 투입예정 수량,D+7일 투입예정 수량,D+8일 투입예정 수량,D+9일 투입예정 수량,D+10일 투입예정 수량,D+11일 투입예정 수량,D+12일 투입예정 수량,CRET_TIME
Part 107,225,243,117,118,147,0,0,0,0,0,0,0,0,2021-09-13 18:30:00
Part 107,289,221,184,80,0,0,0,0,0,0,0,0,0,2021-09-14 17:30:00
Part 107,355,156,125,0,0,0,0,0,0,0,0,0,43,2021-09-15 16:33:00
Part 107,342,181,0,0,0,0,0,0,0,0,0,209,53,2021-09-16 17:06:00
Part 107,339,0,0,0,0,0,0,0,0,0,317,93,47,2021-09-17 06:32:00
Part 107,339,0,0,0,0,0,0,0,0,0,317,93,47,2021-09-18 07:13:00
Part 107,339,0,0,0,0,0,0,0,0,0,317,93,47,2021-09-19 06:30:00
Part 107,339,0,0,0,0,0,0,0,0,0,317,93,47,2021-09-20 06:29:00
Part 107,339,0,0,0,0,0,0,0,0,0,317,93,47,2021-09-21 06:31:00
Part 107,339,0,0,0,0,0,0,0,0,0,317,93,47,2021-09-22 06:33:00
Part 107,339,0,0,0,0,0,0,0,0,0,317,93,47,2021-09-23 06:35:00
Part 107,339,0,0,0,0,0,0,0,0,0,317,93,47,2021-09-24 06:33:00
Part 107,339,0,0,0,0,0,0,0,0,0,317,93,47,2021-09-25 15:38:00
Part 107,339,0,0,0,0,0,0,0,0,0,317,93,47,2021-09-26 06:28:00
Part 107,255,158,247,103,62,0,0,134,196,223,142,261,0,2021-09-27 12:58:00
Part 107,223,171,175,172,0,0,180,179,185,193,196,0,0,2021-09-28 18:00:00
Part 107,253,171,169,0,0,182,152,89,116,100,0,0,96,2021-09-29 11:58:00
Part 107,273,163,0,0,182,158,87,95,104,0,0,117,134,2021-09-30 17:34:00
Part 107,194,0,0,179,178,81,102,93,0,0,124,121,122,2021-10-01 07:08:00
Part 107,0,0,218,168,68,84,81,0,0,121,170,128,96,2021-10-02 08:35:00
Part 107,0,0,218,168,68,84,81,0,0,121,170,128,96,2021-10-03 07:03:00
Part 107,218,168,68,84,81,0,0,121,170,128,96,145,0,2021-10-04 16:30:00
Part 107,209,72,92,69,0,0,119,168,117,71,184,0,0,2021-10-05 10:29:00
Part 107,110,93,66,0,0,0,113,175,119,70,0,0,188,2021-10-06 18:34:00
Part 107,126,63,0,0,0,124,169,353,224,0,0,6,80,2021-10-07 17:32:00
Part 107,101,0,0,0,123,169,199,120,0,0,124,83,105,2021-10-08 15:05:00
Part 107,101,0,0,0,123,169,199,120,0,0,124,83,105,2021-10-09 07:05:00
Part 107,101,0,0,0,123,169,199,120,0,0,124,83,105,2021-10-10 06:29:00
Part 107,101,0,0,0,123,169,199,120,0,0,124,83,105,2021-10-11 06:28:00
Part 107,134,166,199,123,124,0,84,111,65,83,101,0,0,2021-10-12 11:34:00
Part 107,174,197,112,65,0,142,143,71,74,57,0,0,94,2021-10-13 12:38:00
Part 107,209,112,86,0,150,97,74,91,46,0,0,187,40,2021-10-14 16:30:00
Part 107,133,87,0,150,86,80,82,292,0,0,76,25,48,2021-10-15 15:34:00
Part 107,98,0,151,81,86,81,287,0,0,83,25,48,37,2021-10-16 07:42:00
Part 107,98,0,151,81,86,81,287,0,0,83,25,48,37,2021-10-17 06:36:00
Part 107,159,86,87,80,280,0,0,90,26,48,37,38,0,2021-10-18 16:38:00
Part 107,104,88,81,269,0,0,94,34,52,44,16,0,0,2021-10-19 15:57:00
Part 107,95,116,285,0,0,140,51,100,159,188,0,0,110,2021-10-20 16:01:00
Part 107,116,276,0,0,86,40,76,251,149,0,0,141,104,2021-10-21 15:01:00
Part 107,291,0,0,132,196,235,326,283,0,0,514,32,49,2021-10-22 16:03:00
Part 107,291,0,0,132,196,235,326,283,0,0,514,32,49,2021-10-23 07:08:00
Part 107,291,0,0,132,196,235,326,283,0,0,514,32,49,2021-10-24 06:33:00
Part 107,146,214,266,298,196,0,0,199,95,157,125,146,0,2021-10-25 17:29:00
Part 107,274,267,257,210,0,0,167,110,164,144,153,0,0,2021-10-26 06:33:00
Part 107,323,265,201,0,0,192,120,165,142,170,0,0,76,2021-10-27 06:39:00
Part 107,392,215,0,0,212,131,168,145,305,0,0,186,76,2021-10-28 16:26:00
Part 107,299,0,0,281,303,273,273,37,0,0,42,61,63,2021-10-29 15:38:00
Part 107,299,0,0,281,303,273,273,37,0,0,42,61,63,2021-10-30 07:04:00
Part 107,269,204,178,214,276,0,0,166,173,175,216,207,0,2021-11-01 07:03:00
