Part Number,D일 투입예정 수량(D일계획),D+1일 투입예정 수량(Total),D+2일 투입예정 수량(Total),D+3일 투입예정 수량(Total),D+4일 투입예정 수량(Total),D+5일 투입예정 수량,D+6일 투입예정 수량,D+7일 투입예정 수량,D+8일 투입예정 수량,D+9일 투입예정 수량,D+10일 투입예정 수량,D+11일 투입예정 수량,D+12일 투입예정 수량,CRET_TIME
Part 26,0,0,194,199,184,118,0,109,105,112,126,83,260,2021-09-13 18:30:00
Part 26,0,194,199,181,0,0,121,110,104,112,126,84,0,2021-09-14 17:30:00
Part 26,194,200,181,0,0,120,111,105,112,126,84,0,258,2021-09-15 16:33:00
Part 26,212,165,0,0,157,121,115,123,124,56,0,97,346,2021-09-16 17:06:00
Part 26,180,0,0,157,148,139,139,116,41,0,0,330,344,2021-09-17 06:32:00
Part 26,180,0,0,157,148,139,139,116,41,0,0,330,344,2021-09-18 07:13:00
Part 26,180,0,0,157,148,139,139,116,41,0,0,330,344,2021-09-19 06:30:00
Part 26,180,0,0,157,148,139,139,116,41,0,0,330,344,2021-09-20 06:29:00
Part 26,180,0,0,157,148,139,139,116,41,0,0,330,344,2021-09-21 06:31:00
Part 26,180,0,0,157,148,139,139,116,41,0,0,330,344,2021-09-22 06:33:00
Part 26,180,0,0,157,148,139,139,116,41,0,0,330,344,2021-09-23 06:35:00
Part 26,180,0,0,157,148,139,139,116,41,0,0,330,344,2021-09-24 06:33:00
Part 26,180,0,0,157,148,139,139,116,41,0,0,330,344,2021-09-25 15:38:00
Part 26,180,0,0,157,148,139,139,116,41,0,0,330,344,2021-09-26 06:28:00
Part 26,206,146,145,144,135,120,0,32,182,344,356,380,380,2021-09-27 12:58:00
Part 26,201,143,145,141,131,0,113,128,123,123,124,120,0,2021-09-28 18:00:00
Part 26,187,145,144,0,0,135,122,120,125,124,124,0,122,2021-09-29 11:58:00
Part 26,159,187,0,0,152,128,170,68,83,124,0,125,120,2021-09-30 17:34:00
Part 26,178,0,0,172,134,152,160,22,111,0,123,129,125,2021-10-01 07:08:00
Part 26,0,0,199,164,157,128,136,103,0,34,39,148,122,2021-10-02 08:35:00
Part 26,0,0,199,164,157,128,136,103,0,34,39,148,122,2021-10-03 07:03:00
Part 26,199,164,157,128,136,103,0,34,39,148,122,273,380,2021-10-04 16:30:00
Part 26,141,129,149,133,129,0,93,6,84,140,115,349,0,2021-10-05 10:29:00
Part 26,141,149,133,0,0,0,128,95,242,17,0,0,63,2021-10-06 18:34:00
Part 26,163,158,0,0,0,146,140,133,115,12,0,13,0,2021-10-07 17:32:00
Part 26,139,0,0,0,140,137,135,120,131,0,144,167,16,2021-10-08 15:05:00
Part 26,139,0,0,0,140,137,135,120,131,0,144,167,16,2021-10-09 07:05:00
Part 26,139,0,0,0,140,137,135,120,131,0,144,167,16,2021-10-10 06:29:00
Part 26,139,0,0,0,140,137,135,120,131,0,144,167,16,2021-10-11 06:28:00
Part 26,144,137,135,118,130,0,145,201,121,0,0,235,0,2021-10-12 11:34:00
Part 26,161,135,120,129,0,144,199,126,0,0,228,0,368,2021-10-13 12:38:00
Part 26,168,128,0,0,201,183,173,165,124,89,0,4,44,2021-10-14 16:30:00
Part 26,149,0,0,199,186,173,171,124,98,0,10,43,310,2021-10-15 15:34:00
Part 26,0,0,216,187,176,169,128,102,0,14,35,317,0,2021-10-16 07:42:00
Part 26,0,0,216,187,176,169,128,102,0,14,35,317,0,2021-10-17 06:36:00
Part 26,216,187,176,169,128,102,0,14,35,317,0,25,365,2021-10-18 16:38:00
Part 26,212,177,168,148,122,0,113,112,45,30,380,380,0,2021-10-19 15:57:00
Part 26,197,170,166,0,0,125,117,111,53,2,133,0,197,2021-10-20 16:01:00
Part 26,196,189,0,0,206,158,58,0,23,114,0,141,250,2021-10-21 15:01:00
Part 26,198,0,0,200,174,136,101,113,140,0,134,154,193,2021-10-22 16:03:00
Part 26,198,0,0,200,174,136,101,113,140,0,134,154,193,2021-10-23 07:08:00
Part 26,198,0,0,200,174,136,101,113,140,0,134,154,193,2021-10-24 06:33:00
Part 26,228,187,139,107,108,136,0,136,146,184,277,380,380,2021-10-25 17:29:00
Part 26,228,152,130,119,0,0,121,132,139,168,203,358,0,2021-10-26 06:33:00
Part 26,207,136,110,0,0,112,133,136,152,196,283,0,380,2021-10-27 06:39:00
Part 26,174,122,0,0,114,127,136,138,139,139,0,125,128,2021-10-28 16:26:00
Part 26,156,0,0,112,123,127,117,125,134,0,117,174,138,2021-10-29 15:38:00
Part 26,156,0,0,112,123,127,117,125,134,0,117,174,138,2021-10-30 07:04:00
Part 26,132,118,130,119,121,133,0,125,165,138,137,144,203,2021-11-01 07:03:00
