Part Number,D일 투입예정 수량(D일계획),D+1일 투입예정 수량(Total),D+2일 투입예정 수량(Total),D+3일 투입예정 수량(Total),D+4일 투입예정 수량(Total),D+5일 투입예정 수량,D+6일 투입예정 수량,D+7일 투입예정 수량,D+8일 투입예정 수량,D+9일 투입예정 수량,D+10일 투입예정 수량,D+11일 투입예정 수량,D+12일 투입예정 수량,CRET_TIME
Part 64,16,21,49,33,44,23,0,14,6,0,8,0,0,2021-09-13 18:30:00
Part 64,23,48,31,48,0,0,32,13,0,7,1,0,0,2021-09-14 17:30:00
Part 64,48,32,36,0,0,46,15,0,0,50,42,0,0,2021-09-15 16:33:00
Part 64,37,36,0,0,46,15,0,0,26,26,0,17,38,2021-09-16 17:06:00
Part 64,37,0,0,0,0,0,0,49,16,0,0,0,11,2021-09-17 06:32:00
Part 64,37,0,0,0,0,0,0,49,16,0,0,0,11,2021-09-18 07:13:00
Part 64,37,0,0,0,0,0,0,49,16,0,0,0,11,2021-09-19 06:30:00
Part 64,37,0,0,0,0,0,0,49,16,0,0,0,11,2021-09-20 06:29:00
Part 64,37,0,0,0,0,0,0,49,16,0,0,0,11,2021-09-21 06:31:00
Part 64,37,0,0,0,0,0,0,49,16,0,0,0,11,2021-09-22 06:33:00
Part 64,37,0,0,0,0,0,0,49,16,0,0,0,11,2021-09-23 06:35:00
Part 64,37,0,0,0,0,0,0,49,16,0,0,0,11,2021-09-24 06:33:00
Part 64,37,0,0,0,0,0,0,49,16,0,0,0,11,2021-09-25 15:38:00
Part 64,37,0,0,0,0,0,0,49,16,0,0,0,11,2021-09-26 06:28:00
Part 64,10,0,0,1,24,50,0,57,57,60,68,57,0,2021-09-27 12:58:00
Part 64,6,0,1,23,0,0,50,57,57,57,29,16,0,2021-09-28 18:00:00
Part 64,6,1,27,0,0,53,56,55,59,25,17,0,30,2021-09-29 11:58:00
Part 64,4,20,0,0,52,59,52,45,66,50,0,29,0,2021-09-30 17:34:00
Part 64,5,0,0,36,52,52,45,36,46,0,50,42,12,2021-10-01 07:08:00
Part 64,0,0,34,50,51,47,44,46,0,51,43,7,3,2021-10-02 08:35:00
Part 64,0,0,34,50,51,47,44,46,0,51,43,7,3,2021-10-03 07:03:00
Part 64,34,50,51,47,44,46,0,51,43,7,3,2,0,2021-10-04 16:30:00
Part 64,29,24,24,38,0,0,0,48,45,45,51,45,0,2021-10-05 10:29:00
Part 64,38,24,38,0,0,0,47,45,45,51,43,0,17,2021-10-06 18:34:00
Part 64,35,36,0,0,0,48,46,44,51,43,0,19,35,2021-10-07 17:32:00
Part 64,40,0,0,0,50,46,44,51,0,0,44,22,29,2021-10-08 15:05:00
Part 64,40,0,0,0,50,46,44,51,0,0,44,22,29,2021-10-09 07:05:00
Part 64,40,0,0,0,50,46,44,51,0,0,44,22,29,2021-10-10 06:29:00
Part 64,40,0,0,0,50,46,44,51,0,0,44,22,29,2021-10-11 06:28:00
Part 64,73,46,43,52,0,0,46,27,14,52,22,0,0,2021-10-12 11:34:00
Part 64,53,43,50,0,0,49,35,3,48,40,10,0,17,2021-10-13 12:38:00
Part 64,47,47,0,0,50,37,5,44,44,6,0,21,0,2021-10-14 16:30:00
Part 64,48,0,0,48,39,10,38,48,3,0,26,0,0,2021-10-15 15:34:00
Part 64,0,0,51,40,12,35,48,5,0,42,0,0,47,2021-10-16 07:42:00
Part 64,0,0,51,40,12,35,48,5,0,42,0,0,47,2021-10-17 06:36:00
Part 64,51,40,12,35,48,5,0,42,0,0,47,153,0,2021-10-18 16:38:00
Part 64,45,18,26,48,0,0,49,53,55,54,65,0,0,2021-10-19 15:57:00
Part 64,25,25,47,0,0,49,53,36,62,62,0,0,62,2021-10-20 16:01:00
Part 64,19,46,0,0,50,52,39,57,63,0,0,65,47,2021-10-21 15:01:00
Part 64,52,0,0,55,64,48,68,59,0,0,52,42,0,2021-10-22 16:03:00
Part 64,52,0,0,55,64,48,68,59,0,0,52,42,0,2021-10-23 07:08:00
Part 64,52,0,0,55,64,48,68,59,0,0,52,42,0,2021-10-24 06:33:00
Part 64,45,51,45,41,42,0,0,54,55,45,10,55,41,2021-10-25 17:29:00
Part 64,56,46,41,35,0,0,40,39,45,37,19,88,0,2021-10-26 06:33:00
Part 64,63,43,33,0,0,40,40,45,35,0,0,0,0,2021-10-27 06:39:00
Part 64,51,37,0,0,41,12,20,39,41,11,0,97,1,2021-10-28 16:26:00
Part 64,53,0,0,36,15,0,1,9,30,0,45,28,0,2021-10-29 15:38:00
Part 64,53,0,0,36,15,0,1,9,30,0,45,28,0,2021-10-30 07:04:00
Part 64,46,23,13,19,37,38,0,3,0,0,171,0,0,2021-11-01 07:03:00
