Part Number,D일 투입예정 수량(D일계획),D+1일 투입예정 수량(Total),D+2일 투입예정 수량(Total),D+3일 투입예정 수량(Total),D+4일 투입예정 수량(Total),D+5일 투입예정 수량,D+6일 투입예정 수량,D+7일 투입예정 수량,D+8일 투입예정 수량,D+9일 투입예정 수량,D+10일 투입예정 수량,D+11일 투입예정 수량,D+12일 투입예정 수량,CRET_TIME
Part 6,108,82,83,88,86,0,0,81,96,32,20,27,0,2021-09-13 18:30:00
Part 6,106,85,86,88,0,0,81,96,36,13,27,0,0,2021-09-14 17:30:00
Part 6,113,77,77,0,0,81,89,99,91,147,0,0,282,2021-09-15 16:33:00
Part 6,109,83,0,0,84,86,94,94,84,0,0,46,85,2021-09-16 17:06:00
Part 6,117,0,0,0,0,0,0,0,0,0,107,93,99,2021-09-17 06:32:00
Part 6,117,0,0,0,0,0,0,0,0,0,107,93,99,2021-09-18 07:13:00
Part 6,117,0,0,0,0,0,0,0,0,0,107,93,99,2021-09-19 06:30:00
Part 6,117,0,0,0,0,0,0,0,0,0,107,93,99,2021-09-20 06:29:00
Part 6,117,0,0,0,0,0,0,0,0,0,107,93,99,2021-09-21 06:31:00
Part 6,117,0,0,0,0,0,0,0,0,0,107,93,99,2021-09-22 06:33:00
Part 6,117,0,0,0,0,0,0,0,0,0,107,93,99,2021-09-23 06:35:00
Part 6,117,0,0,0,0,0,0,0,0,0,107,93,99,2021-09-24 06:33:00
Part 6,117,0,0,0,0,0,0,0,0,0,107,93,99,2021-09-25 15:38:00
Part 6,117,0,0,0,0,0,0,0,0,0,107,93,99,2021-09-26 06:28:00
Part 6,141,96,85,88,97,97,0,91,99,104,100,123,94,2021-09-27 12:58:00
Part 6,133,86,82,93,0,0,83,94,99,105,102,92,0,2021-09-28 18:00:00
Part 6,135,70,89,0,0,90,92,100,99,104,93,0,0,2021-09-29 11:58:00
Part 6,119,82,0,0,87,84,86,90,96,90,0,0,86,2021-09-30 17:34:00
Part 6,113,0,0,88,85,87,92,96,97,0,90,89,96,2021-10-01 07:08:00
Part 6,0,0,111,88,84,89,88,85,0,84,85,93,105,2021-10-02 08:35:00
Part 6,0,0,111,88,84,89,88,85,0,84,85,93,105,2021-10-03 07:03:00
Part 6,111,88,84,90,87,85,0,84,85,93,105,100,96,2021-10-04 16:30:00
Part 6,114,88,87,85,87,0,0,86,86,90,99,99,0,2021-10-05 10:29:00
Part 6,119,89,84,84,0,0,87,86,89,94,110,0,75,2021-10-06 18:34:00
Part 6,119,81,85,0,0,87,161,20,89,90,0,82,84,2021-10-07 17:32:00
Part 6,115,82,0,0,86,94,92,83,83,0,72,65,71,2021-10-08 15:05:00
Part 6,115,82,0,0,86,94,92,83,83,0,72,65,71,2021-10-09 07:05:00
Part 6,115,82,0,0,86,94,92,83,83,0,72,65,71,2021-10-10 06:29:00
Part 6,115,82,0,0,86,94,92,83,83,0,72,65,71,2021-10-11 06:28:00
Part 6,96,84,89,86,87,0,77,61,68,85,88,98,0,2021-10-12 11:34:00
Part 6,96,91,98,96,0,90,90,82,84,88,98,0,98,2021-10-13 12:38:00
Part 6,107,97,93,0,94,96,83,80,85,91,0,95,38,2021-10-14 16:30:00
Part 6,122,83,0,86,86,86,85,78,90,0,88,63,21,2021-10-15 15:34:00
Part 6,116,0,84,82,83,88,88,90,0,82,69,24,38,2021-10-16 07:42:00
Part 6,116,0,84,82,83,88,88,90,0,82,69,24,38,2021-10-17 06:36:00
Part 6,104,83,83,88,87,91,0,82,75,22,28,450,455,2021-10-18 16:38:00
Part 6,97,89,86,84,92,0,78,88,51,60,63,8,0,2021-10-19 15:57:00
Part 6,100,85,81,86,0,78,93,89,91,87,65,0,94,2021-10-20 16:01:00
Part 6,102,83,86,0,86,95,88,87,88,69,0,76,239,2021-10-21 15:01:00
Part 6,109,81,0,84,86,90,88,81,87,0,95,95,107,2021-10-22 16:03:00
Part 6,109,81,0,84,86,90,88,81,87,0,95,95,107,2021-10-23 07:08:00
Part 6,109,81,0,84,86,90,88,81,87,0,95,95,107,2021-10-24 06:33:00
Part 6,103,76,86,90,86,83,0,91,88,87,89,89,33,2021-10-25 17:29:00
Part 6,90,78,90,87,81,0,92,90,95,95,98,156,0,2021-10-26 06:33:00
Part 6,110,76,92,86,0,90,88,87,85,85,90,0,101,2021-10-27 06:39:00
Part 6,104,82,90,0,90,84,92,94,90,95,0,101,109,2021-10-28 16:26:00
Part 6,96,76,0,79,83,89,90,91,81,0,92,96,96,2021-10-29 15:38:00
Part 6,96,76,0,79,83,89,90,91,81,0,92,96,96,2021-10-30 07:04:00
Part 6,99,82,96,92,91,85,0,91,96,97,103,168,70,2021-11-01 07:03:00
