Part Number,D일 투입예정 수량(D일계획),D+1일 투입예정 수량(Total),D+2일 투입예정 수량(Total),D+3일 투입예정 수량(Total),D+4일 투입예정 수량(Total),D+5일 투입예정 수량,D+6일 투입예정 수량,D+7일 투입예정 수량,D+8일 투입예정 수량,D+9일 투입예정 수량,D+10일 투입예정 수량,D+11일 투입예정 수량,D+12일 투입예정 수량,CRET_TIME
Part 31,3,28,22,18,3,0,0,0,0,0,0,0,0,2021-09-13 18:30:00
Part 31,29,22,18,3,0,0,0,0,0,0,0,0,0,2021-09-14 17:30:00
Part 31,25,17,4,0,0,0,0,0,0,0,0,0,0,2021-09-15 16:33:00
Part 31,21,4,0,0,0,0,0,0,0,0,0,0,0,2021-09-16 17:06:00
Part 31,9,0,0,0,0,0,0,0,0,0,0,0,0,2021-09-17 06:32:00
Part 31,9,0,0,0,0,0,0,0,0,0,0,0,0,2021-09-18 07:13:00
Part 31,9,0,0,0,0,0,0,0,0,0,0,0,0,2021-09-19 06:30:00
Part 31,9,0,0,0,0,0,0,0,0,0,0,0,0,2021-09-20 06:29:00
Part 31,9,0,0,0,0,0,0,0,0,0,0,0,0,2021-09-21 06:31:00
Part 31,9,0,0,0,0,0,0,0,0,0,0,0,0,2021-09-22 06:33:00
Part 31,9,0,0,0,0,0,0,0,0,0,0,0,0,2021-09-23 06:35:00
Part 31,9,0,0,0,0,0,0,0,0,0,0,0,0,2021-09-24 06:33:00
Part 31,9,0,0,0,0,0,0,0,0,0,0,0,0,2021-09-25 15:38:00
Part 31,9,0,0,0,0,0,0,0,0,0,0,0,0,2021-09-26 06:28:00
Part 31,0,0,0,0,0,0,0,0,0,26,1,0,0,2021-09-27 12:58:00
Part 31,0,0,0,0,0,0,0,0,1,26,0,0,0,2021-09-28 18:00:00
Part 31,0,0,0,0,0,0,0,6,21,0,0,0,0,2021-09-29 11:58:00
Part 31,0,0,0,0,0,0,14,13,0,0,0,0,0,2021-09-30 17:34:00
Part 31,0,0,0,0,0,0,27,0,0,0,0,0,0,2021-10-01 07:08:00
Part 31,0,0,0,0,1,26,27,41,0,46,34,44,11,2021-10-02 08:35:00
Part 31,0,0,0,0,1,26,27,41,0,46,34,44,11,2021-10-03 07:03:00
Part 31,0,0,1,26,27,41,0,46,34,44,11,0,0,2021-10-04 16:30:00
Part 31,0,0,0,0,0,0,0,19,8,43,37,50,0,2021-10-05 10:29:00
Part 31,0,0,0,0,0,0,20,7,50,40,40,0,47,2021-10-06 18:34:00
Part 31,0,0,0,0,0,19,8,42,38,50,0,53,52,2021-10-07 17:32:00
Part 31,0,0,0,0,19,8,41,35,0,0,54,46,58,2021-10-08 15:05:00
Part 31,0,0,0,0,19,8,41,35,0,0,54,46,58,2021-10-09 07:05:00
Part 31,0,0,0,0,19,8,41,35,0,0,54,46,58,2021-10-10 06:29:00
Part 31,0,0,0,0,19,8,41,35,0,0,54,46,58,2021-10-11 06:28:00
Part 31,18,9,41,35,0,0,54,40,63,48,13,0,0,2021-10-12 11:34:00
Part 31,16,40,30,0,0,48,39,51,44,42,2,0,68,2021-10-13 12:38:00
Part 31,25,41,0,0,50,37,56,38,48,0,0,11,59,2021-10-14 16:30:00
Part 31,56,0,0,41,34,59,37,49,0,0,25,20,25,2021-10-15 15:34:00
Part 31,0,0,43,40,57,39,41,7,0,25,22,23,0,2021-10-16 07:42:00
Part 31,0,0,43,40,57,39,41,7,0,25,22,23,0,2021-10-17 06:36:00
Part 31,43,40,57,39,41,7,0,25,22,23,0,0,0,2021-10-18 16:38:00
Part 31,47,62,37,39,0,0,12,25,20,25,0,0,0,2021-10-19 15:57:00
Part 31,60,47,39,0,0,12,25,20,25,42,0,0,47,2021-10-20 16:01:00
Part 31,58,44,0,0,12,20,24,26,20,0,0,28,39,2021-10-21 15:01:00
Part 31,41,0,0,14,10,36,24,33,0,0,25,29,30,2021-10-22 16:03:00
Part 31,41,0,0,14,10,36,24,33,0,0,25,29,30,2021-10-23 07:08:00
Part 31,41,0,0,14,10,36,24,33,0,0,25,29,30,2021-10-24 06:33:00
Part 31,10,10,3,3,35,0,0,30,32,30,19,44,43,2021-10-25 17:29:00
Part 31,11,4,7,29,0,0,33,34,29,19,48,37,0,2021-10-26 06:33:00
Part 31,5,7,26,0,0,37,30,33,16,51,35,0,33,2021-10-27 06:39:00
Part 31,9,21,0,0,42,25,40,27,39,40,0,38,29,2021-10-28 16:26:00
Part 31,19,0,0,47,22,41,16,30,39,0,49,39,18,2021-10-29 15:38:00
Part 31,19,0,0,47,22,41,16,30,39,0,49,39,18,2021-10-30 07:04:00
Part 31,41,33,41,15,35,38,0,46,39,18,0,0,0,2021-11-01 07:03:00
