Part Number,D일 투입예정 수량(D일계획),D+1일 투입예정 수량(Total),D+2일 투입예정 수량(Total),D+3일 투입예정 수량(Total),D+4일 투입예정 수량(Total),D+5일 투입예정 수량,D+6일 투입예정 수량,D+7일 투입예정 수량,D+8일 투입예정 수량,D+9일 투입예정 수량,D+10일 투입예정 수량,D+11일 투입예정 수량,D+12일 투입예정 수량,CRET_TIME
Part 106,263,280,509,497,513,0,0,0,0,0,0,0,0,2021-09-13 18:30:00
Part 106,234,472,516,529,0,0,0,0,0,0,0,0,0,2021-09-14 17:30:00
Part 106,479,360,501,0,0,0,0,0,0,0,0,0,539,2021-09-15 16:33:00
Part 106,501,408,0,0,0,0,0,0,0,0,0,374,547,2021-09-16 17:06:00
Part 106,500,0,0,0,0,0,0,0,0,0,348,532,540,2021-09-17 06:32:00
Part 106,500,0,0,0,0,0,0,0,0,0,348,532,540,2021-09-18 07:13:00
Part 106,500,0,0,0,0,0,0,0,0,0,348,532,540,2021-09-19 06:30:00
Part 106,500,0,0,0,0,0,0,0,0,0,348,532,540,2021-09-20 06:29:00
Part 106,500,0,0,0,0,0,0,0,0,0,348,532,540,2021-09-21 06:31:00
Part 106,500,0,0,0,0,0,0,0,0,0,348,532,540,2021-09-22 06:33:00
Part 106,500,0,0,0,0,0,0,0,0,0,348,532,540,2021-09-23 06:35:00
Part 106,500,0,0,0,0,0,0,0,0,0,348,532,540,2021-09-24 06:33:00
Part 106,500,0,0,0,0,0,0,0,0,0,348,532,540,2021-09-25 15:38:00
Part 106,500,0,0,0,0,0,0,0,0,0,348,532,540,2021-09-26 06:28:00
Part 106,340,258,353,480,479,0,0,477,507,416,368,365,0,2021-09-27 12:58:00
Part 106,334,225,467,477,0,0,499,515,515,522,510,0,0,2021-09-28 18:00:00
Part 106,309,467,472,0,0,499,517,515,499,515,0,0,525,2021-09-29 11:58:00
Part 106,598,465,0,0,499,515,515,515,516,0,0,524,548,2021-09-30 17:34:00
Part 106,519,0,0,499,515,515,515,515,0,0,515,513,520,2021-10-01 07:08:00
Part 106,0,0,531,514,515,515,515,0,0,514,515,515,515,2021-10-02 08:35:00
Part 106,0,0,531,514,515,515,515,0,0,514,515,515,515,2021-10-03 07:03:00
Part 106,531,514,515,515,515,0,0,514,515,515,515,495,0,2021-10-04 16:30:00
Part 106,558,515,515,515,0,0,515,515,503,532,485,0,0,2021-10-05 10:29:00
Part 106,567,515,516,0,0,0,518,505,507,543,0,0,464,2021-10-06 18:34:00
Part 106,577,515,0,0,0,515,516,355,360,0,0,481,530,2021-10-07 17:32:00
Part 106,620,0,0,0,510,515,515,513,0,0,495,496,495,2021-10-08 15:05:00
Part 106,620,0,0,0,510,515,515,513,0,0,495,496,495,2021-10-09 07:05:00
Part 106,620,0,0,0,510,515,515,513,0,0,495,496,495,2021-10-10 06:29:00
Part 106,620,0,0,0,510,515,515,513,0,0,495,496,495,2021-10-11 06:28:00
Part 106,587,514,515,514,496,0,496,495,495,488,508,0,0,2021-10-12 11:34:00
Part 106,587,515,534,513,0,525,496,495,494,510,0,0,455,2021-10-13 12:38:00
Part 106,560,514,499,0,496,493,495,492,585,0,0,418,447,2021-10-14 16:30:00
Part 106,579,496,0,495,493,494,490,507,0,0,445,445,465,2021-10-15 15:34:00
Part 106,544,0,492,491,496,490,509,0,0,451,450,468,486,2021-10-16 07:42:00
Part 106,544,0,492,491,496,490,509,0,0,451,450,468,486,2021-10-17 06:36:00
Part 106,538,492,495,489,508,0,0,453,451,467,484,506,0,2021-10-18 16:38:00
Part 106,563,496,489,511,0,0,456,458,463,468,487,0,0,2021-10-19 15:57:00
Part 106,545,481,508,0,0,446,440,469,483,513,0,0,553,2021-10-20 16:01:00
Part 106,535,508,0,0,446,440,458,415,443,0,0,478,528,2021-10-21 15:01:00
Part 106,559,0,0,477,467,494,455,410,0,0,106,515,529,2021-10-22 16:03:00
Part 106,559,0,0,477,467,494,455,410,0,0,106,515,529,2021-10-23 07:08:00
Part 106,559,0,0,477,467,494,455,410,0,0,106,515,529,2021-10-24 06:33:00
Part 106,549,436,274,361,334,0,0,454,467,427,427,404,0,2021-10-25 17:29:00
Part 106,505,294,355,313,0,0,481,449,459,474,437,0,0,2021-10-26 06:33:00
Part 106,359,359,347,0,0,498,477,485,483,486,0,0,457,2021-10-27 06:39:00
Part 106,502,387,0,0,501,476,461,479,402,0,0,413,471,2021-10-28 16:26:00
Part 106,444,0,0,335,294,294,293,314,0,0,477,490,493,2021-10-29 15:38:00
Part 106,444,0,0,335,294,294,293,314,0,0,477,490,493,2021-10-30 07:04:00
Part 106,364,259,416,517,513,0,0,455,497,501,539,492,0,2021-11-01 07:03:00
