Part Number,D일 투입예정 수량(D일계획),D+1일 투입예정 수량(Total),D+2일 투입예정 수량(Total),D+3일 투입예정 수량(Total),D+4일 투입예정 수량(Total),D+5일 투입예정 수량,D+6일 투입예정 수량,D+7일 투입예정 수량,D+8일 투입예정 수량,D+9일 투입예정 수량,D+10일 투입예정 수량,D+11일 투입예정 수량,D+12일 투입예정 수량,CRET_TIME
Part 42,1,1,1,5,0,5,0,0,0,25,85,0,0,2021-09-13 18:30:00
Part 42,2,1,5,0,0,0,5,1,1,12,23,74,0,2021-09-14 17:30:00
Part 42,1,4,5,0,0,2,1,0,13,25,67,0,5,2021-09-15 16:33:00
Part 42,4,5,0,0,2,1,0,13,11,8,0,8,5,2021-09-16 17:06:00
Part 42,7,0,0,0,0,0,0,2,1,0,0,11,13,2021-09-17 06:32:00
Part 42,7,0,0,0,0,0,0,2,1,0,0,11,13,2021-09-18 07:13:00
Part 42,7,0,0,0,0,0,0,2,1,0,0,11,13,2021-09-19 06:30:00
Part 42,7,0,0,0,0,0,0,2,1,0,0,11,13,2021-09-20 06:29:00
Part 42,7,0,0,0,0,0,0,2,1,0,0,11,13,2021-09-21 06:31:00
Part 42,7,0,0,0,0,0,0,2,1,0,0,11,13,2021-09-22 06:33:00
Part 42,7,0,0,0,0,0,0,2,1,0,0,11,13,2021-09-23 06:35:00
Part 42,7,0,0,0,0,0,0,2,1,0,0,11,13,2021-09-24 06:33:00
Part 42,7,0,0,0,0,0,0,2,1,0,0,11,13,2021-09-25 15:38:00
Part 42,7,0,0,0,0,0,0,2,1,0,0,11,13,2021-09-26 06:28:00
Part 42,5,3,0,0,12,14,0,6,11,13,12,18,24,2021-09-27 12:58:00
Part 42,6,0,0,14,0,0,12,12,8,13,16,12,0,2021-09-28 18:00:00
Part 42,1,0,14,0,0,12,13,8,12,18,9,0,22,2021-09-29 11:58:00
Part 42,0,17,0,0,9,13,10,11,17,16,0,21,16,2021-09-30 17:34:00
Part 42,14,0,0,10,14,6,14,14,13,0,16,15,22,2021-10-01 07:08:00
Part 42,0,0,13,10,6,5,13,14,0,13,16,14,25,2021-10-02 08:35:00
Part 42,0,0,13,10,6,5,13,14,0,13,16,14,25,2021-10-03 07:03:00
Part 42,13,10,6,5,13,14,0,13,16,14,25,18,0,2021-10-04 16:30:00
Part 42,7,6,4,0,0,0,0,7,8,15,16,18,0,2021-10-05 10:29:00
Part 42,8,4,1,0,0,0,6,12,13,15,17,0,11,2021-10-06 18:34:00
Part 42,6,3,0,0,0,4,8,10,21,18,0,10,14,2021-10-07 17:32:00
Part 42,5,0,0,0,5,7,10,21,0,0,19,10,14,2021-10-08 15:05:00
Part 42,5,0,0,0,5,7,10,21,0,0,19,10,14,2021-10-09 07:05:00
Part 42,5,0,0,0,5,7,10,21,0,0,19,10,14,2021-10-10 06:29:00
Part 42,5,0,0,0,5,7,10,21,0,0,19,10,14,2021-10-11 06:28:00
Part 42,8,7,10,22,0,0,19,10,14,15,17,30,0,2021-10-12 11:34:00
Part 42,9,9,17,0,0,12,18,10,21,20,24,0,11,2021-10-13 12:38:00
Part 42,16,12,0,0,12,19,8,21,18,20,0,19,2,2021-10-14 16:30:00
Part 42,17,0,0,8,19,7,21,19,18,0,19,18,22,2021-10-15 15:34:00
Part 42,0,0,11,16,7,7,2,13,0,20,23,17,79,2021-10-16 07:42:00
Part 42,0,0,11,16,7,7,2,13,0,20,23,17,79,2021-10-17 06:36:00
Part 42,11,16,7,7,2,13,0,20,23,17,79,4,0,2021-10-18 16:38:00
Part 42,19,3,9,2,0,0,10,16,22,24,62,0,0,2021-10-19 15:57:00
Part 42,8,6,2,0,0,10,15,23,21,20,0,0,23,2021-10-20 16:01:00
Part 42,6,3,0,0,8,14,28,13,23,0,0,23,23,2021-10-21 15:01:00
Part 42,3,0,0,14,19,30,14,16,0,0,21,22,24,2021-10-22 16:03:00
Part 42,3,0,0,14,19,30,14,16,0,0,21,22,24,2021-10-23 07:08:00
Part 42,3,0,0,14,19,30,14,16,0,0,21,22,24,2021-10-24 06:33:00
Part 42,6,7,6,1,11,0,0,32,11,17,25,36,27,2021-10-25 17:29:00
Part 42,7,7,1,10,0,0,33,10,20,35,30,33,0,2021-10-26 06:33:00
Part 42,8,3,8,0,0,33,10,17,34,34,33,0,33,2021-10-27 06:39:00
Part 42,4,13,0,0,31,19,0,4,30,32,0,34,20,2021-10-28 16:26:00
Part 42,13,0,0,31,12,2,4,7,5,0,37,31,32,2021-10-29 15:38:00
Part 42,13,0,0,31,12,2,4,7,5,0,37,31,32,2021-10-30 07:04:00
Part 42,32,14,2,4,7,5,0,39,33,28,51,65,27,2021-11-01 07:03:00
