Part Number,D일 투입예정 수량(D일계획),D+1일 투입예정 수량(Total),D+2일 투입예정 수량(Total),D+3일 투입예정 수량(Total),D+4일 투입예정 수량(Total),D+5일 투입예정 수량,D+6일 투입예정 수량,D+7일 투입예정 수량,D+8일 투입예정 수량,D+9일 투입예정 수량,D+10일 투입예정 수량,D+11일 투입예정 수량,D+12일 투입예정 수량,CRET_TIME
Part 57,15,6,0,0,0,7,0,0,0,0,0,141,57,2021-09-13 18:30:00
Part 57,10,0,0,0,0,0,7,0,0,0,0,0,0,2021-09-14 17:30:00
Part 57,3,0,0,0,0,7,0,0,0,12,16,0,17,2021-09-15 16:33:00
Part 57,1,0,0,0,7,0,0,0,9,22,0,27,16,2021-09-16 17:06:00
Part 57,1,0,0,0,0,0,0,5,2,0,0,0,3,2021-09-17 06:32:00
Part 57,1,0,0,0,0,0,0,5,2,0,0,0,3,2021-09-18 07:13:00
Part 57,1,0,0,0,0,0,0,5,2,0,0,0,3,2021-09-19 06:30:00
Part 57,1,0,0,0,0,0,0,5,2,0,0,0,3,2021-09-20 06:29:00
Part 57,1,0,0,0,0,0,0,5,2,0,0,0,3,2021-09-21 06:31:00
Part 57,1,0,0,0,0,0,0,5,2,0,0,0,3,2021-09-22 06:33:00
Part 57,1,0,0,0,0,0,0,5,2,0,0,0,3,2021-09-23 06:35:00
Part 57,1,0,0,0,0,0,0,5,2,0,0,0,3,2021-09-24 06:33:00
Part 57,1,0,0,0,0,0,0,5,2,0,0,0,3,2021-09-25 15:38:00
Part 57,1,0,0,0,0,0,0,5,2,0,0,0,3,2021-09-26 06:28:00
Part 57,1,0,0,29,29,16,0,22,39,40,13,0,15,2021-09-27 12:58:00
Part 57,1,0,29,28,0,0,17,33,50,24,7,3,0,2021-09-28 18:00:00
Part 57,1,28,30,0,0,21,34,46,21,8,3,0,15,2021-09-29 11:58:00
Part 57,20,38,0,0,30,33,43,21,3,10,0,8,15,2021-09-30 17:34:00
Part 57,39,0,0,20,31,49,25,8,3,0,15,9,6,2021-10-01 07:08:00
Part 57,0,0,24,32,52,23,7,3,0,15,6,15,11,2021-10-02 08:35:00
Part 57,0,0,24,32,52,23,7,3,0,15,6,15,11,2021-10-03 07:03:00
Part 57,24,32,52,23,7,3,0,15,6,15,11,2,0,2021-10-04 16:30:00
Part 57,19,13,18,22,0,0,0,40,14,5,14,4,0,2021-10-05 10:29:00
Part 57,18,18,23,0,0,0,39,14,5,15,3,0,14,2021-10-06 18:34:00
Part 57,25,22,0,0,0,41,13,5,15,3,0,14,9,2021-10-07 17:32:00
Part 57,34,0,0,0,41,14,5,14,0,0,4,14,9,2021-10-08 15:05:00
Part 57,34,0,0,0,41,14,5,14,0,0,4,14,9,2021-10-09 07:05:00
Part 57,34,0,0,0,41,14,5,14,0,0,4,14,9,2021-10-10 06:29:00
Part 57,34,0,0,0,41,14,5,14,0,0,4,14,9,2021-10-11 06:28:00
Part 57,56,15,5,12,0,0,6,14,9,7,4,0,0,2021-10-12 11:34:00
Part 57,27,9,6,0,0,12,14,8,6,6,8,0,35,2021-10-13 12:38:00
Part 57,11,3,0,0,15,9,13,6,5,7,0,27,32,2021-10-14 16:30:00
Part 57,4,0,0,15,8,14,6,5,7,0,24,35,0,2021-10-15 15:34:00
Part 57,0,0,19,8,14,5,5,8,0,32,36,0,0,2021-10-16 07:42:00
Part 57,0,0,19,8,14,5,5,8,0,32,36,0,0,2021-10-17 06:36:00
Part 57,19,8,14,5,5,8,0,32,36,0,0,0,0,2021-10-18 16:38:00
Part 57,6,16,6,5,0,0,5,26,41,4,0,0,0,2021-10-19 15:57:00
Part 57,18,6,5,0,0,5,26,40,5,0,0,0,12,2021-10-20 16:01:00
Part 57,11,5,0,0,6,16,41,14,0,0,0,12,15,2021-10-21 15:01:00
Part 57,8,0,0,32,45,0,0,0,0,0,11,10,21,2021-10-22 16:03:00
Part 57,8,0,0,32,45,0,0,0,0,0,11,10,21,2021-10-23 07:08:00
Part 57,8,0,0,32,45,0,0,0,0,0,11,10,21,2021-10-24 06:33:00
Part 57,13,20,15,26,6,0,0,0,12,11,25,18,27,2021-10-25 17:29:00
Part 57,27,16,24,3,0,0,0,12,11,27,16,22,0,2021-10-26 06:33:00
Part 57,22,24,5,0,0,0,12,11,26,14,23,0,26,2021-10-27 06:39:00
Part 57,33,4,0,0,2,12,20,18,24,22,0,24,14,2021-10-28 16:26:00
Part 57,19,0,0,2,12,7,19,24,17,0,26,21,20,2021-10-29 15:38:00
Part 57,19,0,0,2,12,7,19,24,17,0,26,21,20,2021-10-30 07:04:00
Part 57,9,11,11,16,23,17,0,26,26,16,76,18,0,2021-11-01 07:03:00
