Part Number,D일 투입예정 수량(D일계획),D+1일 투입예정 수량(Total),D+2일 투입예정 수량(Total),D+3일 투입예정 수량(Total),D+4일 투입예정 수량(Total),D+5일 투입예정 수량,D+6일 투입예정 수량,D+7일 투입예정 수량,D+8일 투입예정 수량,D+9일 투입예정 수량,D+10일 투입예정 수량,D+11일 투입예정 수량,D+12일 투입예정 수량,CRET_TIME
Part 98,40,21,14,13,3,0,0,0,0,0,0,0,0,2021-09-13 18:30:00
Part 98,33,34,0,0,0,0,0,0,0,0,0,0,0,2021-09-14 17:30:00
Part 98,43,0,0,0,0,0,0,0,0,0,0,0,0,2021-09-15 16:33:00
Part 98,42,0,0,0,0,0,0,0,0,0,0,0,0,2021-09-16 17:06:00
Part 98,42,0,0,0,0,0,0,0,0,0,0,0,0,2021-09-17 06:32:00
Part 98,42,0,0,0,0,0,0,0,0,0,0,0,0,2021-09-18 07:13:00
Part 98,42,0,0,0,0,0,0,0,0,0,0,0,0,2021-09-19 06:30:00
Part 98,42,0,0,0,0,0,0,0,0,0,0,0,0,2021-09-20 06:29:00
Part 98,42,0,0,0,0,0,0,0,0,0,0,0,0,2021-09-21 06:31:00
Part 98,42,0,0,0,0,0,0,0,0,0,0,0,0,2021-09-22 06:33:00
Part 98,42,0,0,0,0,0,0,0,0,0,0,0,0,2021-09-23 06:35:00
Part 98,42,0,0,0,0,0,0,0,0,0,0,0,0,2021-09-24 06:33:00
Part 98,42,0,0,0,0,0,0,0,0,0,0,0,0,2021-09-25 15:38:00
Part 98,42,0,0,0,0,0,0,0,0,0,0,0,0,2021-09-26 06:28:00
Part 98,40,2,9,16,21,0,0,21,6,7,6,10,0,2021-09-27 12:58:00
Part 98,17,8,16,21,0,0,22,6,15,14,26,0,0,2021-09-28 18:00:00
Part 98,9,18,21,0,0,22,6,15,14,31,0,0,32,2021-09-29 11:58:00
Part 98,26,17,0,0,26,6,15,14,26,0,0,37,10,2021-09-30 17:34:00
Part 98,25,0,0,30,6,7,16,24,0,0,45,10,0,2021-10-01 07:08:00
Part 98,0,0,29,11,7,13,23,0,0,45,11,3,20,2021-10-02 08:35:00
Part 98,0,0,29,11,7,13,23,0,0,45,11,3,20,2021-10-03 07:03:00
Part 98,29,11,7,13,23,0,0,45,11,3,20,22,0,2021-10-04 16:30:00
Part 98,18,7,12,22,0,0,43,12,6,20,21,0,0,2021-10-05 10:29:00
Part 98,10,12,22,0,0,0,46,12,3,20,0,0,23,2021-10-06 18:34:00
Part 98,15,22,0,0,0,45,11,4,20,0,0,2,32,2021-10-07 17:32:00
Part 98,25,0,0,0,46,11,4,20,0,0,22,21,29,2021-10-08 15:05:00
Part 98,25,0,0,0,46,11,4,20,0,0,22,21,29,2021-10-09 07:05:00
Part 98,25,0,0,0,46,11,4,20,0,0,22,21,29,2021-10-10 06:29:00
Part 98,25,0,0,0,46,11,4,20,0,0,22,21,29,2021-10-11 06:28:00
Part 98,46,12,8,20,21,0,21,26,66,8,23,0,0,2021-10-12 11:34:00
Part 98,13,10,20,22,0,26,30,71,0,25,0,0,17,2021-10-13 12:38:00
Part 98,13,20,19,0,19,28,67,39,19,0,0,19,47,2021-10-14 16:30:00
Part 98,23,19,0,53,33,39,30,17,0,0,51,36,20,2021-10-15 15:34:00
Part 98,21,0,51,48,28,30,13,0,0,23,65,23,35,2021-10-16 07:42:00
Part 98,21,0,51,48,28,30,13,0,0,23,65,23,35,2021-10-17 06:36:00
Part 98,54,52,28,30,11,0,0,25,61,27,32,5,0,2021-10-18 16:38:00
Part 98,61,24,34,11,0,0,21,59,32,23,13,0,0,2021-10-19 15:57:00
Part 98,27,36,19,0,0,17,67,20,35,0,0,0,32,2021-10-20 16:01:00
Part 98,38,20,0,0,17,11,29,0,0,0,0,19,25,2021-10-21 15:01:00
Part 98,20,0,0,0,0,0,0,0,0,0,8,22,32,2021-10-22 16:03:00
Part 98,20,0,0,0,0,0,0,0,0,0,8,22,32,2021-10-23 07:08:00
Part 98,20,0,0,0,0,0,0,0,0,0,8,22,32,2021-10-24 06:33:00
Part 98,3,0,0,0,8,0,0,17,25,35,60,80,0,2021-10-25 17:29:00
Part 98,0,0,0,8,0,0,17,24,39,68,68,0,0,2021-10-26 06:33:00
Part 98,0,0,8,0,0,17,32,31,95,66,0,0,11,2021-10-27 06:39:00
Part 98,0,8,0,0,17,35,41,89,59,0,0,5,7,2021-10-28 16:26:00
Part 98,0,0,0,0,0,0,0,12,0,0,22,43,70,2021-10-29 15:38:00
Part 98,0,0,0,0,0,0,0,12,0,0,22,43,70,2021-10-30 07:04:00
Part 98,0,0,0,0,0,0,0,0,0,0,0,4,0,2021-11-01 07:03:00
