Part Number,D일 투입예정 수량(D일계획),D+1일 투입예정 수량(Total),D+2일 투입예정 수량(Total),D+3일 투입예정 수량(Total),D+4일 투입예정 수량(Total),D+5일 투입예정 수량,D+6일 투입예정 수량,D+7일 투입예정 수량,D+8일 투입예정 수량,D+9일 투입예정 수량,D+10일 투입예정 수량,D+11일 투입예정 수량,D+12일 투입예정 수량,CRET_TIME
Part 24,9,8,2,11,164,158,0,154,158,107,92,89,0,2021-09-13 18:30:00
Part 24,7,8,10,163,157,0,164,145,111,91,93,0,0,2021-09-14 17:30:00
Part 24,9,11,158,161,0,162,148,93,95,90,0,0,106,2021-09-15 16:33:00
Part 24,11,166,168,0,151,143,96,95,86,0,0,108,0,2021-09-16 17:06:00
Part 24,176,174,0,0,0,0,0,0,0,0,179,175,110,2021-09-17 06:32:00
Part 24,176,174,0,0,0,0,0,0,0,0,179,175,110,2021-09-18 07:13:00
Part 24,176,174,0,0,0,0,0,0,0,0,179,175,110,2021-09-19 06:30:00
Part 24,176,174,0,0,0,0,0,0,0,0,179,175,110,2021-09-20 06:29:00
Part 24,176,174,0,0,0,0,0,0,0,0,179,175,110,2021-09-21 06:31:00
Part 24,176,174,0,0,0,0,0,0,0,0,179,175,110,2021-09-22 06:33:00
Part 24,176,174,0,0,0,0,0,0,0,0,179,175,110,2021-09-23 06:35:00
Part 24,176,174,0,0,0,0,0,0,0,0,179,175,110,2021-09-24 06:33:00
Part 24,176,174,0,0,0,0,0,0,0,0,179,175,110,2021-09-25 15:38:00
Part 24,176,174,0,0,0,0,0,0,0,0,179,175,110,2021-09-26 06:28:00
Part 24,184,185,136,98,0,0,0,0,0,0,0,0,0,2021-09-27 12:58:00
Part 24,202,146,83,101,0,0,131,125,133,176,126,0,0,2021-09-28 18:00:00
Part 24,165,82,99,0,0,133,125,131,174,132,0,0,0,2021-09-29 11:58:00
Part 24,94,97,0,0,135,125,129,176,122,0,0,0,68,2021-09-30 17:34:00
Part 24,102,0,0,134,124,126,172,134,0,0,0,72,79,2021-10-01 07:08:00
Part 24,0,0,150,121,123,166,146,0,0,0,73,86,248,2021-10-02 08:35:00
Part 24,0,0,150,121,123,166,146,0,0,0,73,86,248,2021-10-03 07:03:00
Part 24,150,121,123,166,146,0,0,0,73,86,248,116,0,2021-10-04 16:30:00
Part 24,125,114,154,174,92,0,0,119,153,147,97,0,0,2021-10-05 10:29:00
Part 24,121,145,187,89,0,0,121,147,147,104,0,0,86,2021-10-06 18:34:00
Part 24,149,187,92,0,0,122,145,149,106,0,0,88,73,2021-10-07 17:32:00
Part 24,193,107,0,0,125,153,174,127,0,0,111,92,85,2021-10-08 15:05:00
Part 24,193,107,0,0,125,153,174,127,0,0,111,92,85,2021-10-09 07:05:00
Part 24,193,107,0,0,125,153,174,127,0,0,111,92,85,2021-10-10 06:29:00
Part 24,193,107,0,0,125,153,174,127,0,0,111,92,85,2021-10-11 06:28:00
Part 24,131,138,175,146,0,0,113,94,87,94,116,0,0,2021-10-12 11:34:00
Part 24,148,164,157,119,0,100,87,93,112,117,0,0,85,2021-10-13 12:38:00
Part 24,186,156,121,0,105,86,89,110,118,0,0,41,55,2021-10-14 16:30:00
Part 24,182,114,0,112,88,150,242,161,0,0,110,92,134,2021-10-15 15:34:00
Part 24,140,0,110,94,106,233,231,0,0,187,128,160,161,2021-10-16 07:42:00
Part 24,140,0,110,94,106,233,231,0,0,187,128,160,161,2021-10-17 06:36:00
Part 24,125,91,98,229,234,0,0,194,135,152,161,172,0,2021-10-18 16:38:00
Part 24,106,79,222,240,209,0,149,117,120,153,138,0,0,2021-10-19 15:57:00
Part 24,85,191,245,212,0,166,114,120,144,151,0,0,0,2021-10-20 16:01:00
Part 24,195,247,207,0,167,116,120,144,151,0,0,0,0,2021-10-21 15:01:00
Part 24,275,196,0,176,113,120,139,155,0,0,91,64,62,2021-10-22 16:03:00
Part 24,275,196,0,176,113,120,139,155,0,0,91,64,62,2021-10-23 07:08:00
Part 24,275,196,0,176,113,120,139,155,0,0,91,64,62,2021-10-24 06:33:00
Part 24,191,122,122,133,127,0,0,126,117,85,86,87,0,2021-10-25 17:29:00
Part 24,144,122,128,136,131,0,129,96,97,98,90,0,0,2021-10-26 06:33:00
Part 24,142,124,135,130,0,148,163,99,96,81,0,0,70,2021-10-27 06:39:00
Part 24,135,135,126,0,147,135,128,114,78,0,0,49,98,2021-10-28 16:26:00
Part 24,162,117,0,158,109,100,92,92,0,0,101,81,92,2021-10-29 15:38:00
Part 24,162,117,0,158,109,100,92,92,0,0,101,81,92,2021-10-30 07:04:00
Part 24,187,108,103,91,91,0,0,102,87,84,174,80,0,2021-11-01 07:03:00
