Part Number,D일 투입예정 수량(D일계획),D+1일 투입예정 수량(Total),D+2일 투입예정 수량(Total),D+3일 투입예정 수량(Total),D+4일 투입예정 수량(Total),D+5일 투입예정 수량,D+6일 투입예정 수량,D+7일 투입예정 수량,D+8일 투입예정 수량,D+9일 투입예정 수량,D+10일 투입예정 수량,D+11일 투입예정 수량,D+12일 투입예정 수량,CRET_TIME
Part 59,31,39,88,40,42,50,0,28,49,9,0,0,0,2021-09-13 18:30:00
Part 59,38,93,41,42,0,0,51,21,18,47,0,0,0,2021-09-14 17:30:00
Part 59,94,34,42,0,0,61,22,13,57,0,0,0,0,2021-09-15 16:33:00
Part 59,48,42,0,0,58,25,13,58,34,19,0,17,12,2021-09-16 17:06:00
Part 59,50,0,0,0,0,0,0,60,27,0,11,57,37,2021-09-17 06:32:00
Part 59,50,0,0,0,0,0,0,60,27,0,11,57,37,2021-09-18 07:13:00
Part 59,50,0,0,0,0,0,0,60,27,0,11,57,37,2021-09-19 06:30:00
Part 59,50,0,0,0,0,0,0,60,27,0,11,57,37,2021-09-20 06:29:00
Part 59,50,0,0,0,0,0,0,60,27,0,11,57,37,2021-09-21 06:31:00
Part 59,50,0,0,0,0,0,0,60,27,0,11,57,37,2021-09-22 06:33:00
Part 59,50,0,0,0,0,0,0,60,27,0,11,57,37,2021-09-23 06:35:00
Part 59,50,0,0,0,0,0,0,60,27,0,11,57,37,2021-09-24 06:33:00
Part 59,50,0,0,0,0,0,0,60,27,0,11,57,37,2021-09-25 15:38:00
Part 59,50,0,0,0,0,0,0,60,27,0,11,57,37,2021-09-26 06:28:00
Part 59,14,59,33,16,18,19,0,13,2,6,7,6,0,2021-09-27 12:58:00
Part 59,38,49,24,21,0,0,25,5,5,8,6,3,0,2021-09-28 18:00:00
Part 59,66,26,27,0,0,21,2,8,17,16,22,0,27,2021-09-29 11:58:00
Part 59,41,27,0,0,26,2,10,20,20,21,0,32,21,2021-09-30 17:34:00
Part 59,29,0,0,19,13,4,21,21,20,0,24,29,9,2021-10-01 07:08:00
Part 59,0,0,27,12,7,21,20,19,0,24,27,9,1,2021-10-02 08:35:00
Part 59,0,0,27,12,7,21,20,19,0,24,27,9,1,2021-10-03 07:03:00
Part 59,27,12,7,21,20,19,0,24,27,9,1,0,0,2021-10-04 16:30:00
Part 59,12,11,2,1,0,0,0,13,17,24,19,29,0,2021-10-05 10:29:00
Part 59,11,2,1,0,0,0,15,15,25,22,26,0,23,2021-10-06 18:34:00
Part 59,3,1,0,0,0,15,14,26,16,32,0,25,26,2021-10-07 17:32:00
Part 59,4,0,0,0,13,16,23,19,0,0,32,22,28,2021-10-08 15:05:00
Part 59,4,0,0,0,13,16,23,19,0,0,32,22,28,2021-10-09 07:05:00
Part 59,4,0,0,0,13,16,23,19,0,0,32,22,28,2021-10-10 06:29:00
Part 59,4,0,0,0,13,16,23,19,0,0,32,22,28,2021-10-11 06:28:00
Part 59,15,16,21,21,0,0,31,23,25,28,27,6,0,2021-10-12 11:34:00
Part 59,22,19,24,0,0,24,30,18,31,28,10,0,0,2021-10-13 12:38:00
Part 59,24,20,0,0,26,26,22,25,24,20,0,2,0,2021-10-14 16:30:00
Part 59,29,0,0,21,30,20,21,25,21,0,32,38,32,2021-10-15 15:34:00
Part 59,0,0,25,29,21,23,22,22,0,29,38,43,18,2021-10-16 07:42:00
Part 59,0,0,25,29,21,23,22,22,0,29,38,43,18,2021-10-17 06:36:00
Part 59,25,29,21,23,22,22,0,29,38,43,18,0,0,2021-10-18 16:38:00
Part 59,26,23,23,25,0,0,23,23,36,45,25,0,0,2021-10-19 15:57:00
Part 59,25,22,26,0,0,23,27,32,35,35,0,0,17,2021-10-20 16:01:00
Part 59,30,20,0,0,24,24,39,27,32,0,0,25,15,2021-10-21 15:01:00
Part 59,25,0,0,43,67,26,27,19,0,0,20,17,22,2021-10-22 16:03:00
Part 59,25,0,0,43,67,26,27,19,0,0,20,17,22,2021-10-23 07:08:00
Part 59,25,0,0,43,67,26,27,19,0,0,20,17,22,2021-10-24 06:33:00
Part 59,29,16,26,30,18,0,0,26,25,23,45,15,1,2021-10-25 17:29:00
Part 59,26,30,28,18,0,0,26,25,25,41,15,1,0,2021-10-26 06:33:00
Part 59,40,28,17,0,0,27,25,24,41,30,19,0,23,2021-10-27 06:39:00
Part 59,47,21,0,0,28,25,35,39,31,20,0,32,21,2021-10-28 16:26:00
Part 59,42,0,0,23,22,27,36,38,19,0,18,34,14,2021-10-29 15:38:00
Part 59,42,0,0,23,22,27,36,38,19,0,18,34,14,2021-10-30 07:04:00
Part 59,48,29,19,34,40,19,0,20,32,14,4,1,0,2021-11-01 07:03:00
