Part Number,D일 투입예정 수량(D일계획),D+1일 투입예정 수량(Total),D+2일 투입예정 수량(Total),D+3일 투입예정 수량(Total),D+4일 투입예정 수량(Total),D+5일 투입예정 수량,D+6일 투입예정 수량,D+7일 투입예정 수량,D+8일 투입예정 수량,D+9일 투입예정 수량,D+10일 투입예정 수량,D+11일 투입예정 수량,D+12일 투입예정 수량,CRET_TIME
Part 34,8,26,20,2,0,0,0,152,0,0,80,20,0,2021-09-13 18:30:00
Part 34,24,22,2,0,0,0,0,90,75,111,126,100,0,2021-09-14 17:30:00
Part 34,26,2,0,0,0,0,0,92,160,153,45,0,25,2021-09-15 16:33:00
Part 34,8,0,0,0,0,26,92,136,151,37,0,43,54,2021-09-16 17:06:00
Part 34,2,0,0,0,0,0,0,0,36,0,84,132,153,2021-09-17 06:32:00
Part 34,2,0,0,0,0,0,0,0,36,0,84,132,153,2021-09-18 07:13:00
Part 34,2,0,0,0,0,0,0,0,36,0,84,132,153,2021-09-19 06:30:00
Part 34,2,0,0,0,0,0,0,0,36,0,84,132,153,2021-09-20 06:29:00
Part 34,2,0,0,0,0,0,0,0,36,0,84,132,153,2021-09-21 06:31:00
Part 34,2,0,0,0,0,0,0,0,36,0,84,132,153,2021-09-22 06:33:00
Part 34,2,0,0,0,0,0,0,0,36,0,84,132,153,2021-09-23 06:35:00
Part 34,2,0,0,0,0,0,0,0,36,0,84,132,153,2021-09-24 06:33:00
Part 34,2,0,0,0,0,0,0,0,36,0,84,132,153,2021-09-25 15:38:00
Part 34,2,0,0,0,0,0,0,0,36,0,84,132,153,2021-09-26 06:28:00
Part 34,47,143,212,34,34,30,0,36,60,72,75,22,128,2021-09-27 12:58:00
Part 34,149,199,51,35,0,0,33,39,78,65,57,48,0,2021-09-28 18:00:00
Part 34,231,66,38,0,0,30,44,82,66,47,15,0,105,2021-09-29 11:58:00
Part 34,136,49,0,0,41,55,94,61,20,54,0,96,74,2021-09-30 17:34:00
Part 34,74,0,0,34,43,73,69,52,28,0,84,39,131,2021-10-01 07:08:00
Part 34,0,0,57,43,83,68,42,2,0,24,98,144,27,2021-10-02 08:35:00
Part 34,0,0,57,43,83,68,42,2,0,24,98,144,27,2021-10-03 07:03:00
Part 34,57,43,83,68,42,2,0,24,98,144,27,38,0,2021-10-04 16:30:00
Part 34,44,25,18,30,0,0,0,88,60,15,1,70,0,2021-10-05 10:29:00
Part 34,53,17,34,0,0,0,82,65,11,0,71,0,80,2021-10-06 18:34:00
Part 34,51,28,0,0,0,89,61,14,1,71,0,80,40,2021-10-07 17:32:00
Part 34,53,0,0,0,83,69,15,1,0,0,67,84,39,2021-10-08 15:05:00
Part 34,53,0,0,0,83,69,15,1,0,0,67,84,39,2021-10-09 07:05:00
Part 34,53,0,0,0,83,69,15,1,0,0,67,84,39,2021-10-10 06:29:00
Part 34,53,0,0,0,83,69,15,1,0,0,67,84,39,2021-10-11 06:28:00
Part 34,111,68,18,1,0,0,60,81,36,54,103,84,0,2021-10-12 11:34:00
Part 34,93,27,2,0,0,45,86,46,40,105,94,0,103,2021-10-13 12:38:00
Part 34,55,2,0,0,28,96,52,41,98,90,0,137,35,2021-10-14 16:30:00
Part 34,16,0,0,28,97,51,37,94,98,0,76,46,50,2021-10-15 15:34:00
Part 34,0,0,37,91,59,65,101,92,0,69,54,20,0,2021-10-16 07:42:00
Part 34,0,0,37,91,59,65,101,92,0,69,54,20,0,2021-10-17 06:36:00
Part 34,37,91,59,65,101,92,0,69,54,20,0,0,0,2021-10-18 16:38:00
Part 34,91,65,43,117,0,0,90,66,73,20,0,0,0,2021-10-19 15:57:00
Part 34,76,43,117,0,0,91,67,73,70,88,0,0,95,2021-10-20 16:01:00
Part 34,56,94,0,0,102,71,63,86,85,0,0,98,66,2021-10-21 15:01:00
Part 34,98,0,0,62,67,104,62,95,0,0,109,68,96,2021-10-22 16:03:00
Part 34,98,0,0,62,67,104,62,95,0,0,109,68,96,2021-10-23 07:08:00
Part 34,98,0,0,62,67,104,62,95,0,0,109,68,96,2021-10-24 06:33:00
Part 34,48,23,37,29,34,0,0,130,114,95,73,101,35,2021-10-25 17:29:00
Part 34,34,40,31,32,0,0,129,112,97,113,98,34,0,2021-10-26 06:33:00
Part 34,43,30,38,0,0,127,113,96,115,86,46,0,42,2021-10-27 06:39:00
Part 34,39,43,0,0,114,117,143,78,117,18,0,49,122,2021-10-28 16:26:00
Part 34,46,0,0,102,143,163,132,77,37,0,61,90,41,2021-10-29 15:38:00
Part 34,46,0,0,102,143,163,132,77,37,0,61,90,41,2021-10-30 07:04:00
Part 34,127,130,169,130,74,38,0,66,85,41,0,50,0,2021-11-01 07:03:00
