Part Number,D일 투입예정 수량(D일계획),D+1일 투입예정 수량(Total),D+2일 투입예정 수량(Total),D+3일 투입예정 수량(Total),D+4일 투입예정 수량(Total),D+5일 투입예정 수량,D+6일 투입예정 수량,D+7일 투입예정 수량,D+8일 투입예정 수량,D+9일 투입예정 수량,D+10일 투입예정 수량,D+11일 투입예정 수량,D+12일 투입예정 수량,CRET_TIME
Part 56,261,176,176,189,220,173,0,130,125,116,126,97,10,2021-09-13 18:30:00
Part 56,231,171,176,209,0,0,156,180,130,138,215,135,0,2021-09-14 17:30:00
Part 56,196,174,200,0,0,146,184,146,126,290,129,0,127,2021-09-15 16:33:00
Part 56,200,200,0,0,161,169,146,140,201,124,0,117,122,2021-09-16 17:06:00
Part 56,228,0,0,0,0,0,0,166,167,0,150,120,210,2021-09-17 06:32:00
Part 56,228,0,0,0,0,0,0,166,167,0,150,120,210,2021-09-18 07:13:00
Part 56,228,0,0,0,0,0,0,166,167,0,150,120,210,2021-09-19 06:30:00
Part 56,228,0,0,0,0,0,0,166,167,0,150,120,210,2021-09-20 06:29:00
Part 56,228,0,0,0,0,0,0,166,167,0,150,120,210,2021-09-21 06:31:00
Part 56,228,0,0,0,0,0,0,166,167,0,150,120,210,2021-09-22 06:33:00
Part 56,228,0,0,0,0,0,0,166,167,0,150,120,210,2021-09-23 06:35:00
Part 56,228,0,0,0,0,0,0,166,167,0,150,120,210,2021-09-24 06:33:00
Part 56,228,0,0,0,0,0,0,166,167,0,150,120,210,2021-09-25 15:38:00
Part 56,228,0,0,0,0,0,0,166,167,0,150,120,210,2021-09-26 06:28:00
Part 56,215,141,201,151,104,126,0,109,93,153,141,49,108,2021-09-27 12:58:00
Part 56,183,196,164,124,0,0,135,99,88,186,178,160,0,2021-09-28 18:00:00
Part 56,243,187,122,0,0,137,97,89,177,187,193,0,135,2021-09-29 11:58:00
Part 56,246,139,0,0,150,111,118,219,203,140,0,159,174,2021-09-30 17:34:00
Part 56,187,0,0,141,105,93,164,206,189,0,146,142,187,2021-10-01 07:08:00
Part 56,0,0,189,111,95,176,200,194,0,132,127,135,261,2021-10-02 08:35:00
Part 56,0,0,189,111,95,176,200,194,0,132,127,135,261,2021-10-03 07:03:00
Part 56,189,111,95,176,200,194,0,132,127,135,261,160,0,2021-10-04 16:30:00
Part 56,127,60,54,49,0,0,0,133,200,189,140,149,0,2021-10-05 10:29:00
Part 56,114,53,49,0,0,0,137,207,181,137,146,0,114,2021-10-06 18:34:00
Part 56,93,46,0,0,0,135,204,180,144,149,0,116,117,2021-10-07 17:32:00
Part 56,82,0,0,0,133,203,177,150,0,0,147,118,112,2021-10-08 15:05:00
Part 56,82,0,0,0,133,203,177,150,0,0,147,118,112,2021-10-09 07:05:00
Part 56,82,0,0,0,133,203,177,150,0,0,147,118,112,2021-10-10 06:29:00
Part 56,82,0,0,0,133,203,177,150,0,0,147,118,112,2021-10-11 06:28:00
Part 56,154,202,181,150,0,0,146,119,114,164,182,153,0,2021-10-12 11:34:00
Part 56,215,201,160,0,0,141,120,120,159,154,151,0,136,2021-10-13 12:38:00
Part 56,218,189,0,0,137,123,117,158,155,158,0,129,193,2021-10-14 16:30:00
Part 56,231,0,0,141,121,117,159,155,160,0,149,165,164,2021-10-15 15:34:00
Part 56,0,0,183,121,117,161,156,158,0,144,153,187,62,2021-10-16 07:42:00
Part 56,0,0,183,121,117,161,156,158,0,144,153,187,62,2021-10-17 06:36:00
Part 56,183,121,117,161,156,158,0,144,153,187,62,0,0,2021-10-18 16:38:00
Part 56,166,112,162,153,0,0,156,142,161,185,89,0,0,2021-10-19 15:57:00
Part 56,147,163,152,0,0,157,136,168,157,136,0,0,167,2021-10-20 16:01:00
Part 56,156,146,0,0,180,143,163,154,140,0,0,164,137,2021-10-21 15:01:00
Part 56,192,0,0,224,207,70,157,113,0,0,134,163,137,2021-10-22 16:03:00
Part 56,192,0,0,224,207,70,157,113,0,0,134,163,137,2021-10-23 07:08:00
Part 56,192,0,0,224,207,70,157,113,0,0,134,163,137,2021-10-24 06:33:00
Part 56,143,103,109,105,89,0,0,139,152,122,109,130,117,2021-10-25 17:29:00
Part 56,182,105,103,87,0,0,137,144,114,113,134,115,0,2021-10-26 06:33:00
Part 56,186,106,85,0,0,142,139,119,119,131,111,0,147,2021-10-27 06:39:00
Part 56,187,77,0,0,160,149,125,129,128,112,0,155,160,2021-10-28 16:26:00
Part 56,152,0,0,139,149,137,109,131,120,0,151,148,129,2021-10-29 15:38:00
Part 56,152,0,0,139,149,137,109,131,120,0,151,148,129,2021-10-30 07:04:00
Part 56,214,140,136,113,131,123,0,150,149,126,197,119,0,2021-11-01 07:03:00
