part_number,pred_day,train_evaluate,val_evaluate,test_evaluate,mae,mse,rmse
6.0,1.0,0.9941694736480713,0.13428030908107758,0.11475846916437149,7.446827697753906,99.60317857963965,9.980139206425912
6.0,2.0,1.001937985420227,0.05418072268366814,0.09507257491350174,7.164918687608507,85.17866383565382,9.229228777945307
6.0,3.0,0.7430794835090637,0.012323921546339989,0.06507035344839096,6.3303985595703125,60.10765684821591,7.752912797666172
6.0,4.0,0.8208841681480408,0.0450734868645668,0.08779200166463852,7.460961235894097,80.96576885785908,8.998098068917624
6.0,5.0,1.0236499309539795,0.03899892419576645,0.06445155292749405,6.4345550537109375,61.32630672825811,7.831111461871687
6.0,6.0,1.0035400390625,0.05252057686448097,0.08007115870714188,6.991890801323785,78.68412068372385,8.870407019056332
6.0,7.0,1.0004022121429443,0.02215915359556675,0.09099145233631134,7.730541229248047,89.4941738761554,9.46013603898778
15.0,1.0,1.0013153553009033,2.303906202316284,0.7341877818107605,6.713323783874512,85.75585717077884,9.260445840820994
15.0,2.0,0.996900200843811,1.8423246145248413,0.7935517430305481,7.364521238538954,93.72829399027049,9.681337407108094
15.0,3.0,0.9843465089797974,1.8991400003433228,0.6042733788490295,6.738096237182617,73.2573948686877,8.559053386250591
15.0,4.0,0.9671788811683655,2.036655902862549,0.7915006875991821,7.580844031439887,98.46708229316654,9.923058111951503
15.0,5.0,1.0121569633483887,1.8891589641571045,0.770696759223938,7.722141265869141,98.5428855540926,9.926876928525537
15.0,6.0,0.9844495058059692,2.020381450653076,0.5474927425384521,6.740877787272136,71.99739886856777,8.485128099714688
15.0,7.0,0.9496055841445923,1.244307518005371,0.7581666707992554,8.326596736907959,105.94606508052948,10.293010496474269
16.0,1.0,0.8044086694717407,0.04512999206781387,0.5042265057563782,12.290410232543945,200.5122621816714,14.160235244573848
16.0,2.0,0.8039397597312927,0.0022786029148846865,0.5897057056427002,12.698964012993706,237.25556291485069,15.403102379548436
16.0,3.0,0.9819431304931641,0.05996949225664139,0.779090166091919,15.979573567708334,319.25036876276135,17.867578704535244
16.0,4.0,0.9810422658920288,0.06458355486392975,0.7246002554893494,15.170824262830946,292.40036102473096,17.09971815629518
16.0,5.0,0.9960517883300781,0.04591849446296692,0.6402585506439209,14.219404856363932,262.7983789823468,16.211057306121237
16.0,6.0,1.0100764036178589,0.03135132044553757,0.5894992351531982,13.517250484890408,246.0317442922662,15.685399079789656
16.0,7.0,0.9974647760391235,0.013704204000532627,0.5732176899909973,13.388142585754395,234.69386008654692,15.319721279662595
29.0,1.0,0.8877846002578735,0.005369164515286684,0.0059621320106089115,7.772137451171875,100.21440859679133,10.010714689610893
29.0,2.0,0.9360125660896301,0.0041463905945420265,0.007208038587123156,7.41851806640625,124.5771085433662,11.161411583817085
29.0,3.0,0.9467431902885437,0.005398162640631199,0.006880611181259155,9.039130316840279,121.49456216084461,11.022457174371086
29.0,4.0,0.9395861029624939,0.0047043063677847385,0.005536425393074751,8.295552571614584,96.62532006576657,9.829817906032979
29.0,5.0,0.9543548822402954,0.00811871699988842,0.004139222204685211,7.168521457248264,73.72883026105248,8.586549380342053
29.0,6.0,0.9614115953445435,0.006270626559853554,0.004352973774075508,7.110666910807292,79.13538472095712,8.895807142747483
29.0,7.0,0.969689667224884,0.004249745514243841,0.004213848151266575,7.316394805908203,75.39155705145095,8.682831165665434
94.0,1.0,0.9245904684066772,0.4855539798736572,1.742526650428772,5.410461807250977,36.5658319514434,6.046968823422476
94.0,2.0,0.6619747877120972,0.7828537821769714,1.6651122570037842,5.250826517740886,34.31414273936793,5.857827476067209
94.0,3.0,0.9401169419288635,0.7950872182846069,1.9003827571868896,5.5976977878146705,38.95573828654273,6.241453219126354
94.0,4.0,0.9909632802009583,0.8861937522888184,1.9735933542251587,5.696226331922743,39.72624782942067,6.30287615532946
94.0,5.0,0.9840877056121826,0.9415168166160583,1.9305318593978882,5.621025085449219,38.28926189895719,6.187831760718547
94.0,6.0,1.0005652904510498,0.904456377029419,1.9254580736160278,5.541331397162543,37.4383709946851,6.118690300602336
94.0,7.0,0.8418484926223755,0.9048640727996826,1.8915815353393555,5.610743999481201,35.51540882902009,5.959480583827762
