part_number,pred_day,train_evaluate,val_evaluate,test_evaluate,mae,mse,rmse
6.0,1.0,0.009851559065282345,0.0010250004706904292,0.001088409568183124,7.2129051208496096,94.46717433918384,9.719422531158106
6.0,2.0,0.009940377436578274,0.0006511516985483468,0.0010765487095341086,7.497283935546875,96.45157546380587,9.820976298912745
6.0,3.0,0.0076364800333976746,0.00011640625598374754,0.0008527323952876031,6.70865715874566,78.76972029267603,8.875230717715231
6.0,4.0,0.007412355858832598,0.0004208761965855956,0.0008058285457082093,7.274001227484809,74.3171821199681,8.620741390389117
6.0,5.0,0.009998977184295654,0.0006532020634040236,0.0009553583804517984,7.30720689561632,90.90328492168595,9.534321419046346
6.0,6.0,0.0100021380931139,0.0005979965208098292,0.0008775407914072275,7.2547107272677955,86.23390246347601,9.286221107828307
6.0,7.0,0.009876685217022896,0.00030375050846487284,0.0010173346381634474,8.192919731140137,100.05938928637624,10.002969023563766
15.0,1.0,0.00984068214893341,0.023446956649422646,0.0069717601872980595,6.494264030456543,81.43274177714957,9.024009185342708
15.0,2.0,0.009983784519135952,0.0178731270134449,0.00825307983905077,7.4816161261664496,97.47909123039588,9.873150015592586
15.0,3.0,0.00949717778712511,0.018122203648090363,0.006723691709339619,6.965994517008464,81.51281274182354,9.028444646882626
15.0,4.0,0.009922130033373833,0.019424956291913986,0.0073379394598305225,7.234210968017578,91.28803626668378,9.554477289034905
15.0,5.0,0.00986727885901928,0.019128194078803062,0.007037665229290724,7.156755447387695,89.9850435369901,9.486044672938775
15.0,6.0,0.009911159984767437,0.019556144252419472,0.007235339842736721,7.40343623691135,95.14750102535416,9.75435805296044
15.0,7.0,0.009649486280977726,0.012500258162617683,0.00877353549003601,8.912250757217407,122.60120677576424,11.072542922732982
16.0,1.0,0.007975002750754356,0.00030589557718485594,0.004012983292341232,10.548754501342774,159.58153632658212,12.632558581957264
16.0,2.0,0.0065985494293272495,1.8792785340338014e-05,0.006396316923201084,12.896794213189018,257.34223796820635,16.04189009961751
16.0,3.0,0.010060043074190617,0.00042779711657203734,0.0063639357686042786,14.230575137668186,260.7771165581184,16.148594878753954
16.0,4.0,0.009967400692403316,0.0005418395739980042,0.006774271372705698,14.577407836914062,273.3644740321809,16.533737448991406
16.0,5.0,0.00994018279016018,0.0005430192104540765,0.006607796531170607,14.518508911132812,271.2213562681702,16.468799478655697
16.0,6.0,0.008994746021926403,0.00030901830177754164,0.005971360486000776,13.790660858154297,249.2190323341654,15.786672617564646
16.0,7.0,0.009925400838255882,0.000267695082584396,0.0064389668405056,14.531802654266357,263.6321758312315,16.23675385756745
29.0,1.0,0.008595215156674385,5.5005144531605765e-05,6.685929838567972e-05,8.256719970703125,112.38044118657709,10.600964163064466
29.0,2.0,0.009272568859159946,5.560329736908898e-05,7.371509855147451e-05,8.95852322048611,127.40246925606496,11.287270230488192
29.0,3.0,0.009309631772339344,6.220111390575767e-05,5.763073932030238e-05,7.89585706922743,101.76164252818045,10.0876975831049
29.0,4.0,0.009403182193636894,3.314377318019979e-05,5.827666973345913e-05,6.999508327907986,101.70806446661138,10.085041619478393
29.0,5.0,0.009321071207523346,5.946522287558764e-05,5.131167563376948e-05,8.439687093098959,91.39771151987628,9.560215035232016
29.0,6.0,0.009753378108143806,5.75640078750439e-05,3.224795000278391e-05,6.262074788411458,58.62563549323628,7.6567379146237124
29.0,7.0,0.009805436246097088,4.069931310368702e-05,3.531612310325727e-05,6.951789855957031,63.185511596500874,7.948931475141856
94.0,1.0,0.00550180533900857,0.0038492612075060606,0.014786171726882458,4.814591598510742,31.02785577040777,5.570265323160807
94.0,2.0,0.008479703217744827,0.007773080375045538,0.016964571550488472,5.365153418646918,34.96007054746183,5.9127041653935155
94.0,3.0,0.009371289983391762,0.007888928055763245,0.018825503066182137,5.558472527398004,38.59018038614239,6.21209951515125
94.0,4.0,0.009818902239203453,0.008340731263160706,0.01904299482703209,5.571360270182292,38.33143337207083,6.191238436053875
94.0,5.0,0.009722018614411354,0.0088737141340971,0.019492721185088158,5.6420847574869795,38.660956292351734,6.217793522814322
94.0,6.0,0.009987463243305683,0.008618631400167942,0.01986699551343918,5.645656585693359,38.629134626598294,6.215234076573327
94.0,7.0,0.009317873045802116,0.01094802375882864,0.021188657730817795,5.777380466461182,39.78277678402992,6.307358938892722
