CRET_TIME,D일 투입예정 수량(D일계획)
2021-09-13,180
2021-09-14,121
2021-09-15,84
2021-09-16,100
2021-09-17,107
2021-09-18,107
2021-09-19,107
2021-09-20,107
2021-09-21,107
2021-09-22,107
2021-09-23,107
2021-09-24,107
2021-09-25,107
2021-09-26,107
2021-09-27,127
2021-09-28,131
2021-09-29,125
2021-09-30,125
2021-10-01,160
2021-10-02,0
2021-10-03,0
2021-10-04,146
2021-10-05,123
2021-10-06,153
2021-10-07,181
2021-10-08,151
2021-10-09,151
2021-10-10,151
2021-10-11,151
2021-10-12,127
2021-10-13,131
2021-10-14,106
2021-10-15,102
2021-10-16,108
2021-10-20,102
2021-10-21,99
2021-10-22,98
2021-10-23,98
2021-10-24,98
2021-10-25,78
2021-10-26,76
2021-10-27,96
2021-10-28,92
2021-10-29,91
2021-10-30,91
2021-11-01,130
