CRET_TIME,D일 투입예정 수량(D일계획)
2021-09-13,108
2021-09-14,106
2021-09-15,113
2021-09-16,109
2021-09-17,117
2021-09-18,117
2021-09-19,117
2021-09-20,117
2021-09-21,117
2021-09-22,117
2021-09-23,117
2021-09-24,117
2021-09-25,117
2021-09-26,117
2021-09-27,141
2021-09-28,133
2021-09-29,135
2021-09-30,119
2021-10-01,113
2021-10-02,0
2021-10-03,0
2021-10-04,111
2021-10-05,114
2021-10-06,119
2021-10-07,119
2021-10-08,115
2021-10-09,115
2021-10-10,115
2021-10-11,115
2021-10-12,96
2021-10-13,96
2021-10-14,107
2021-10-15,122
2021-10-16,116
2021-10-20,100
2021-10-21,102
2021-10-22,109
2021-10-23,109
2021-10-24,109
2021-10-25,103
2021-10-26,90
2021-10-27,110
2021-10-28,104
2021-10-29,96
2021-10-30,96
2021-11-01,99
