CRET_TIME,D일 투입예정 수량(D일계획)
2021-09-13,223
2021-09-14,199
2021-09-15,127
2021-09-16,127
2021-09-17,134
2021-09-18,134
2021-09-19,134
2021-09-20,134
2021-09-21,134
2021-09-22,134
2021-09-23,134
2021-09-24,134
2021-09-25,134
2021-09-26,134
2021-09-27,115
2021-09-28,92
2021-09-29,53
2021-09-30,16
2021-10-01,6
2021-10-02,0
2021-10-03,0
2021-10-04,3
2021-10-05,42
2021-10-06,156
2021-10-07,115
2021-10-08,160
2021-10-09,160
2021-10-10,160
2021-10-11,160
2021-10-12,94
2021-10-13,127
2021-10-14,187
2021-10-15,242
2021-10-16,67
2021-10-20,192
2021-10-21,92
2021-10-22,25
2021-10-23,25
2021-10-24,25
2021-10-25,19
2021-10-26,4
2021-10-27,2
2021-10-28,31
2021-10-29,102
2021-10-30,102
2021-11-01,40
