CRET_TIME,D일 투입예정 수량(D일계획)
2021-09-13,266
2021-09-14,4
2021-09-15,0
2021-09-16,608
2021-09-17,566
2021-09-18,566
2021-09-19,566
2021-09-20,566
2021-09-21,566
2021-09-22,566
2021-09-23,566
2021-09-24,566
2021-09-25,566
2021-09-26,566
2021-09-27,640
2021-09-28,614
2021-09-29,638
2021-09-30,676
2021-10-01,666
2021-10-02,0
2021-10-03,0
2021-10-04,668
2021-10-05,670
2021-10-06,670
2021-10-07,666
2021-10-08,672
2021-10-09,672
2021-10-10,672
2021-10-11,672
2021-10-12,664
2021-10-13,724
2021-10-14,744
2021-10-15,726
2021-10-16,730
2021-10-20,634
2021-10-21,586
2021-10-22,660
2021-10-23,660
2021-10-24,660
2021-10-25,636
2021-10-26,640
2021-10-27,628
2021-10-28,642
2021-10-29,630
2021-10-30,630
2021-11-01,124
