CRET_TIME,D일 투입예정 수량(D일계획)
2021-09-13,0
2021-09-14,0
2021-09-15,162
2021-09-16,99
2021-09-17,71
2021-09-18,71
2021-09-19,71
2021-09-20,71
2021-09-21,71
2021-09-22,71
2021-09-23,71
2021-09-24,71
2021-09-25,71
2021-09-26,71
2021-09-27,67
2021-09-28,79
2021-09-29,91
2021-09-30,93
2021-10-01,69
2021-10-02,0
2021-10-03,0
2021-10-04,106
2021-10-05,123
2021-10-06,128
2021-10-07,142
2021-10-08,134
2021-10-09,134
2021-10-10,134
2021-10-11,134
2021-10-12,84
2021-10-13,88
2021-10-14,171
2021-10-15,171
2021-10-16,0
2021-10-20,211
2021-10-21,185
2021-10-22,164
2021-10-23,164
2021-10-24,164
2021-10-25,134
2021-10-26,152
2021-10-27,166
2021-10-28,189
2021-10-29,180
2021-10-30,180
2021-11-01,179
