CRET_TIME,D일 투입예정 수량(D일계획)
2021-09-13,0
2021-09-14,0
2021-09-15,158
2021-09-16,169
2021-09-17,136
2021-09-18,136
2021-09-19,136
2021-09-20,136
2021-09-21,136
2021-09-22,136
2021-09-23,136
2021-09-24,136
2021-09-25,136
2021-09-26,136
2021-09-27,159
2021-09-28,161
2021-09-29,151
2021-09-30,132
2021-10-01,154
2021-10-02,0
2021-10-03,0
2021-10-04,188
2021-10-05,140
2021-10-06,131
2021-10-07,144
2021-10-08,125
2021-10-09,125
2021-10-10,125
2021-10-11,125
2021-10-12,135
2021-10-13,142
2021-10-14,148
2021-10-15,130
2021-10-16,0
2021-10-20,176
2021-10-21,187
2021-10-22,172
2021-10-23,172
2021-10-24,172
2021-10-25,196
2021-10-26,213
2021-10-27,201
2021-10-28,174
2021-10-29,150
2021-10-30,150
2021-11-01,105
