CRET_TIME,D일 투입예정 수량(D일계획)
2021-09-13,4
2021-09-14,0
2021-09-15,0
2021-09-16,12
2021-09-17,7
2021-09-18,7
2021-09-19,7
2021-09-20,7
2021-09-21,7
2021-09-22,7
2021-09-23,7
2021-09-24,7
2021-09-25,7
2021-09-26,7
2021-09-27,32
2021-09-28,2
2021-09-29,0
2021-09-30,0
2021-10-01,10
2021-10-02,0
2021-10-03,0
2021-10-04,0
2021-10-05,0
2021-10-06,0
2021-10-07,0
2021-10-08,71
2021-10-09,71
2021-10-10,71
2021-10-11,71
2021-10-12,24
2021-10-13,72
2021-10-14,15
2021-10-15,0
2021-10-16,0
2021-10-20,108
2021-10-21,43
2021-10-22,5
2021-10-23,5
2021-10-24,5
2021-10-25,0
2021-10-26,56
2021-10-27,215
2021-10-28,28
2021-10-29,13
2021-10-30,13
2021-11-01,11
