CRET_TIME,D일 투입예정 수량(D일계획)
2021-09-13,1
2021-09-14,0
2021-09-15,0
2021-09-16,1
2021-09-17,1
2021-09-18,1
2021-09-19,1
2021-09-20,1
2021-09-21,1
2021-09-22,1
2021-09-23,1
2021-09-24,1
2021-09-25,1
2021-09-26,1
2021-09-27,0
2021-09-28,2
2021-09-29,2
2021-09-30,3
2021-10-01,2
2021-10-02,0
2021-10-03,0
2021-10-04,1
2021-10-05,1
2021-10-06,0
2021-10-07,0
2021-10-08,2
2021-10-09,2
2021-10-10,2
2021-10-11,2
2021-10-12,4
2021-10-13,3
2021-10-14,2
2021-10-15,9
2021-10-16,0
2021-10-20,7
2021-10-21,12
2021-10-22,26
2021-10-23,26
2021-10-24,26
2021-10-25,7
2021-10-26,3
2021-10-27,3
2021-10-28,4
2021-10-29,2
2021-10-30,2
2021-11-01,2
