CRET_TIME,D일 투입예정 수량(D일계획)
2021-09-13,113
2021-09-14,209
2021-09-15,209
2021-09-16,288
2021-09-17,276
2021-09-18,276
2021-09-19,276
2021-09-20,276
2021-09-21,276
2021-09-22,276
2021-09-23,276
2021-09-24,276
2021-09-25,276
2021-09-26,276
2021-09-27,262
2021-09-28,305
2021-09-29,309
2021-09-30,338
2021-10-01,323
2021-10-02,305
2021-10-03,305
2021-10-04,269
2021-10-05,311
2021-10-06,335
2021-10-07,327
2021-10-08,236
2021-10-09,236
2021-10-10,236
2021-10-11,236
2021-10-12,303
2021-10-13,276
2021-10-14,352
2021-10-15,363
2021-10-16,365
2021-10-20,209
2021-10-21,250
2021-10-22,325
2021-10-23,325
2021-10-24,325
2021-10-25,290
2021-10-26,249
2021-10-27,99
2021-10-28,276
2021-10-29,264
2021-10-30,264
2021-11-01,209
