CRET_TIME,D일 투입예정 수량(D일계획)
2021-09-13,42
2021-09-14,40
2021-09-15,40
2021-09-16,47
2021-09-17,46
2021-09-18,46
2021-09-19,46
2021-09-20,46
2021-09-21,46
2021-09-22,46
2021-09-23,46
2021-09-24,46
2021-09-25,46
2021-09-26,46
2021-09-27,40
2021-09-28,35
2021-09-29,39
2021-09-30,45
2021-10-01,40
2021-10-02,41
2021-10-03,41
2021-10-04,40
2021-10-05,41
2021-10-06,39
2021-10-07,38
2021-10-08,42
2021-10-09,42
2021-10-10,42
2021-10-11,42
2021-10-12,42
2021-10-13,28
2021-10-14,35
2021-10-15,35
2021-10-16,35
2021-10-20,45
2021-10-21,43
2021-10-22,35
2021-10-23,35
2021-10-24,35
2021-10-25,38
2021-10-26,45
2021-10-27,45
2021-10-28,47
2021-10-29,45
2021-10-30,45
2021-11-01,28
