CRET_TIME,D일 투입예정 수량(D일계획)
2021-09-13,23
2021-09-14,9
2021-09-15,8
2021-09-16,8
2021-09-17,8
2021-09-18,8
2021-09-19,8
2021-09-20,8
2021-09-21,8
2021-09-22,8
2021-09-23,8
2021-09-24,8
2021-09-25,8
2021-09-26,8
2021-09-27,5
2021-09-28,6
2021-09-29,36
2021-09-30,184
2021-10-01,186
2021-10-02,0
2021-10-03,0
2021-10-04,148
2021-10-05,145
2021-10-06,69
2021-10-07,112
2021-10-08,136
2021-10-09,136
2021-10-10,136
2021-10-11,136
2021-10-12,180
2021-10-13,156
2021-10-14,50
2021-10-15,43
2021-10-16,127
2021-10-20,114
2021-10-21,153
2021-10-22,87
2021-10-23,87
2021-10-24,87
2021-10-25,387
2021-10-26,300
2021-10-27,77
2021-10-28,103
2021-10-29,134
2021-10-30,134
2021-11-01,82
