CRET_TIME,D일 투입예정 수량(D일계획)
2021-09-13,0
2021-09-14,0
2021-09-15,0
2021-09-16,0
2021-09-17,0
2021-09-18,0
2021-09-19,0
2021-09-20,0
2021-09-21,0
2021-09-22,0
2021-09-23,0
2021-09-24,0
2021-09-25,0
2021-09-26,0
2021-09-27,21
2021-09-28,13
2021-09-29,6
2021-09-30,7
2021-10-01,9
2021-10-02,0
2021-10-03,0
2021-10-04,13
2021-10-05,17
2021-10-06,20
2021-10-07,15
2021-10-08,12
2021-10-09,12
2021-10-10,12
2021-10-11,12
2021-10-12,7
2021-10-13,9
2021-10-14,14
2021-10-15,14
2021-10-16,0
2021-10-20,15
2021-10-21,16
2021-10-22,17
2021-10-23,17
2021-10-24,17
2021-10-25,11
2021-10-26,13
2021-10-27,15
2021-10-28,16
2021-10-29,12
2021-10-30,12
2021-11-01,12
