CRET_TIME,D일 투입예정 수량(D일계획)
2021-09-13,124
2021-09-14,150
2021-09-15,48
2021-09-16,39
2021-09-17,48
2021-09-18,48
2021-09-19,48
2021-09-20,48
2021-09-21,48
2021-09-22,48
2021-09-23,48
2021-09-24,48
2021-09-25,48
2021-09-26,48
2021-09-27,30
2021-09-28,49
2021-09-29,57
2021-09-30,11
2021-10-01,15
2021-10-02,0
2021-10-03,0
2021-10-04,5
2021-10-05,1
2021-10-06,0
2021-10-07,0
2021-10-08,0
2021-10-09,0
2021-10-10,0
2021-10-11,0
2021-10-12,0
2021-10-13,0
2021-10-14,0
2021-10-15,0
2021-10-16,13
2021-10-20,14
2021-10-21,17
2021-10-22,12
2021-10-23,12
2021-10-24,12
2021-10-25,48
2021-10-26,81
2021-10-27,51
2021-10-28,46
2021-10-29,49
2021-10-30,49
2021-11-01,11
