CRET_TIME,D일 투입예정 수량(D일계획)
2021-09-13,9
2021-09-14,7
2021-09-15,9
2021-09-16,11
2021-09-17,176
2021-09-18,176
2021-09-19,176
2021-09-20,176
2021-09-21,176
2021-09-22,176
2021-09-23,176
2021-09-24,176
2021-09-25,176
2021-09-26,176
2021-09-27,184
2021-09-28,202
2021-09-29,165
2021-09-30,94
2021-10-01,102
2021-10-02,0
2021-10-03,0
2021-10-04,150
2021-10-05,125
2021-10-06,121
2021-10-07,149
2021-10-08,193
2021-10-09,193
2021-10-10,193
2021-10-11,193
2021-10-12,131
2021-10-13,148
2021-10-14,186
2021-10-15,182
2021-10-16,140
2021-10-20,85
2021-10-21,195
2021-10-22,275
2021-10-23,275
2021-10-24,275
2021-10-25,191
2021-10-26,144
2021-10-27,142
2021-10-28,135
2021-10-29,162
2021-10-30,162
2021-11-01,187
