CRET_TIME,D일 투입예정 수량(D일계획)
2021-09-13,16
2021-09-14,16
2021-09-15,16
2021-09-16,23
2021-09-17,158
2021-09-18,158
2021-09-19,158
2021-09-20,158
2021-09-21,158
2021-09-22,158
2021-09-23,158
2021-09-24,158
2021-09-25,158
2021-09-26,158
2021-09-27,70
2021-09-28,20
2021-09-29,29
2021-09-30,76
2021-10-01,95
2021-10-02,0
2021-10-03,0
2021-10-04,61
2021-10-05,112
2021-10-06,151
2021-10-07,118
2021-10-08,73
2021-10-09,73
2021-10-10,73
2021-10-11,73
2021-10-12,145
2021-10-13,118
2021-10-14,108
2021-10-15,114
2021-10-16,161
2021-10-20,195
2021-10-21,104
2021-10-22,19
2021-10-23,19
2021-10-24,19
2021-10-25,78
2021-10-26,155
2021-10-27,161
2021-10-28,178
2021-10-29,156
2021-10-30,156
2021-11-01,104
