CRET_TIME,D일 투입예정 수량(D일계획)
2021-09-13,0
2021-09-14,0
2021-09-15,0
2021-09-16,14
2021-09-17,6
2021-09-18,6
2021-09-19,6
2021-09-20,6
2021-09-21,6
2021-09-22,6
2021-09-23,6
2021-09-24,6
2021-09-25,6
2021-09-26,6
2021-09-27,17
2021-09-28,21
2021-09-29,8
2021-09-30,0
2021-10-01,11
2021-10-02,0
2021-10-03,0
2021-10-04,30
2021-10-05,13
2021-10-06,9
2021-10-07,9
2021-10-08,9
2021-10-09,9
2021-10-10,9
2021-10-11,9
2021-10-12,22
2021-10-13,9
2021-10-14,9
2021-10-15,21
2021-10-16,0
2021-10-20,4
2021-10-21,0
2021-10-22,0
2021-10-23,0
2021-10-24,0
2021-10-25,0
2021-10-26,0
2021-10-27,0
2021-10-28,0
2021-10-29,0
2021-10-30,0
2021-11-01,0
