CRET_TIME,D일 투입예정 수량(D일계획)
2021-09-13,0
2021-09-14,0
2021-09-15,217
2021-09-16,192
2021-09-17,226
2021-09-18,226
2021-09-19,226
2021-09-20,226
2021-09-21,226
2021-09-22,226
2021-09-23,226
2021-09-24,226
2021-09-25,226
2021-09-26,226
2021-09-27,201
2021-09-28,196
2021-09-29,239
2021-09-30,255
2021-10-01,231
2021-10-02,0
2021-10-03,0
2021-10-04,202
2021-10-05,179
2021-10-06,178
2021-10-07,238
2021-10-08,227
2021-10-09,227
2021-10-10,227
2021-10-11,227
2021-10-12,82
2021-10-13,85
2021-10-14,95
2021-10-15,99
2021-10-16,0
2021-10-20,204
2021-10-21,220
2021-10-22,204
2021-10-23,204
2021-10-24,204
2021-10-25,185
2021-10-26,196
2021-10-27,217
2021-10-28,251
2021-10-29,275
2021-10-30,275
2021-11-01,284
