CRET_TIME,D일 투입예정 수량(D일계획)
2021-09-13,76
2021-09-14,82
2021-09-15,73
2021-09-16,88
2021-09-17,51
2021-09-18,51
2021-09-19,51
2021-09-20,51
2021-09-21,51
2021-09-22,51
2021-09-23,51
2021-09-24,51
2021-09-25,51
2021-09-26,51
2021-09-27,135
2021-09-28,165
2021-09-29,115
2021-09-30,82
2021-10-01,129
2021-10-02,0
2021-10-03,0
2021-10-04,97
2021-10-05,52
2021-10-06,109
2021-10-07,122
2021-10-08,119
2021-10-09,119
2021-10-10,119
2021-10-11,119
2021-10-12,123
2021-10-13,52
2021-10-14,70
2021-10-15,118
2021-10-16,0
2021-10-20,213
2021-10-21,178
2021-10-22,145
2021-10-23,145
2021-10-24,145
2021-10-25,22
2021-10-26,15
2021-10-27,9
2021-10-28,9
2021-10-29,30
2021-10-30,30
2021-11-01,109
