CRET_TIME,D일 투입예정 수량(D일계획)
2021-09-13,30
2021-09-14,27
2021-09-15,28
2021-09-16,0
2021-09-17,0
2021-09-18,0
2021-09-19,0
2021-09-20,0
2021-09-21,0
2021-09-22,0
2021-09-23,0
2021-09-24,0
2021-09-25,0
2021-09-26,0
2021-09-27,22
2021-09-28,32
2021-09-29,37
2021-09-30,43
2021-10-01,41
2021-10-02,0
2021-10-03,0
2021-10-04,41
2021-10-05,51
2021-10-06,47
2021-10-07,42
2021-10-08,45
2021-10-09,45
2021-10-10,45
2021-10-11,45
2021-10-12,44
2021-10-13,23
2021-10-14,29
2021-10-15,32
2021-10-16,0
2021-10-20,39
2021-10-21,30
2021-10-22,25
2021-10-23,25
2021-10-24,25
2021-10-25,46
2021-10-26,33
2021-10-27,23
2021-10-28,24
2021-10-29,18
2021-10-30,18
2021-11-01,30
