CRET_TIME,D일 투입예정 수량(D일계획)
2021-09-13,16
2021-09-14,0
2021-09-15,0
2021-09-16,4
2021-09-17,0
2021-09-18,0
2021-09-19,0
2021-09-20,0
2021-09-21,0
2021-09-22,0
2021-09-23,0
2021-09-24,0
2021-09-25,0
2021-09-26,0
2021-09-27,26
2021-09-28,0
2021-09-29,0
2021-09-30,0
2021-10-01,0
2021-10-02,0
2021-10-03,0
2021-10-04,65
2021-10-05,24
2021-10-06,0
2021-10-07,1
2021-10-08,24
2021-10-09,24
2021-10-10,24
2021-10-11,24
2021-10-12,0
2021-10-13,2
2021-10-14,0
2021-10-15,0
2021-10-16,0
2021-10-20,0
2021-10-21,0
2021-10-22,0
2021-10-23,0
2021-10-24,0
2021-10-25,20
2021-10-26,15
2021-10-27,0
2021-10-28,6
2021-10-29,38
2021-10-30,38
2021-11-01,9
